hpi	cell_line	seqnames	strand	cluster	cluster_start	cluster_end	cluster_peak	cluster_width	cluster_total_count	meta_cluster
2h	NRK	LT934125.1	+	22	51230	51238	51230	9	5	59
2h	NRK	LT934125.1	+	23	52444	52462	52460	19	9	59
2h	NRK	LT934125.1	+	25	59044	59074	59044	31	16	59
2h	NRK	LT934125.1	+	29	70529	70547	70529	19	7	59
2h	NRK	LT934125.1	+	33	79440	79445	79444	6	9	59
2h	NRK	LT934125.1	+	40	114985	114988	114985	4	13	59
2h	NRK	LT934125.1	+	45	118857	118866	118864	10	18	59
2h	NRK	LT934125.1	+	49	122979	122983	122979	5	6	59
2h	NRK	LT934125.1	+	51	125217	125225	125223	9	14	59
2h	NRK	LT934125.1	-	5	9494	9500	9494	7	6	46
2h	NRK	LT934125.1	-	9	29408	29414	29412	7	5	46
2h	NRK	LT934125.1	-	17	56182	56194	56194	13	10	46
2h	NRK	LT934125.1	-	28	97295	97361	97339	67	34	46
2h	NRK	LT934125.1	-	35	128729	128732	128732	4	13	46
0.5h	PC-12	LT934125.1	-	3	56188	56194	56188	7	5	46
1.5h	PC-12	LT934125.1	+	2	1302	1345	1337	44	13	59
1.5h	PC-12	LT934125.1	+	4	9267	9274	9270	8	12	59
1.5h	PC-12	LT934125.1	+	9	31098	31098	31098	1	6	59
1.5h	PC-12	LT934125.1	+	15	48565	48571	48567	7	28	59
1.5h	PC-12	LT934125.1	+	17	51230	51235	51235	6	10	59
1.5h	PC-12	LT934125.1	+	18	52444	52460	52460	17	18	59
1.5h	PC-12	LT934125.1	+	20	59044	59070	59068	27	31	59
1.5h	PC-12	LT934125.1	+	26	70529	70534	70529	6	11	59
1.5h	PC-12	LT934125.1	+	27	74400	74402	74400	3	6	59
1.5h	PC-12	LT934125.1	+	30	79440	79454	79444	15	16	59
1.5h	PC-12	LT934125.1	+	35	114985	114988	114985	4	23	59
1.5h	PC-12	LT934125.1	+	39	117769	117769	117769	1	5	59
1.5h	PC-12	LT934125.1	+	42	118860	118866	118864	7	28	59
1.5h	PC-12	LT934125.1	+	49	124756	124796	124756	41	5	59
1.5h	PC-12	LT934125.1	+	50	125221	125225	125225	5	21	59
1.5h	PC-12	LT934125.1	-	1	3908	3914	3910	7	10	46
1.5h	PC-12	LT934125.1	-	4	9494	9500	9494	7	9	46
1.5h	PC-12	LT934125.1	-	21	51144	51147	51147	4	5	46
1.5h	PC-12	LT934125.1	-	23	56185	56194	56188	10	14	46
1.5h	PC-12	LT934125.1	-	24	63420	63424	63420	5	10	46
1.5h	PC-12	LT934125.1	-	37	97271	97366	97337	96	38	46
1.5h	PC-12	LT934125.1	-	45	128729	128732	128732	4	23	46
12h	PC-12	LT934125.1	-	50	9486	9533	9494	48	166	46
12h	PC-12	LT934125.1	-	95	17297	17379	17341	83	181	46
12h	PC-12	LT934125.1	-	119	19455	19533	19471	79	1082	46
12h	PC-12	LT934125.1	-	133	21923	21994	21941	72	100	46
12h	PC-12	LT934125.1	-	183	29378	29432	29411	55	4190	46
12h	PC-12	LT934125.1	-	205	32778	32874	32842	97	76	46
12h	PC-12	LT934125.1	-	263	41946	42003	41995	58	124	46
12h	PC-12	LT934125.1	-	288	44876	44893	44889	18	138	46
12h	PC-12	LT934125.1	-	325	51129	51198	51147	70	380	46
12h	PC-12	LT934125.1	-	352	55355	55454	55378	100	103	46
12h	PC-12	LT934125.1	-	353	55460	55553	55523	94	75	46
12h	PC-12	LT934125.1	-	363	56176	56212	56188	37	4297	46
12h	PC-12	LT934125.1	-	371	56915	56981	56946	67	505	46
12h	PC-12	LT934125.1	-	381	58531	58613	58570	83	93	46
12h	PC-12	LT934125.1	-	386	59233	59281	59277	49	121	46
12h	PC-12	LT934125.1	-	406	63300	63367	63315	68	94	46
12h	PC-12	LT934125.1	-	407	63374	63452	63420	79	46904	46
12h	PC-12	LT934125.1	-	413	64113	64129	64125	17	100	46
12h	PC-12	LT934125.1	-	427	65718	65784	65750	67	284	46
12h	PC-12	LT934125.1	-	458	70388	70478	70451	91	185	46
12h	PC-12	LT934125.1	-	506	80628	80724	80657	97	79	46
12h	PC-12	LT934125.1	-	508	80820	80916	80868	97	105	46
12h	PC-12	LT934125.1	-	519	81800	81897	81804	98	1733	46
12h	PC-12	LT934125.1	-	545	87150	87217	87161	68	268	46
12h	PC-12	LT934125.1	-	579	92879	92953	92933	75	2023	46
12h	PC-12	LT934125.1	-	587	93650	93700	93654	51	212	46
12h	PC-12	LT934125.1	-	599	94885	94950	94947	66	447	46
12h	PC-12	LT934125.1	-	620	97307	97367	97361	61	270	46
12h	PC-12	LT934125.1	-	668	107343	107419	107369	77	87	46
12h	PC-12	LT934125.1	-	669	107493	107579	107559	87	173	46
12h	PC-12	LT934125.1	-	700	115496	115543	115528	48	85	46
12h	PC-12	LT934125.1	-	702	115640	115716	115648	77	106	46
12h	PC-12	LT934125.1	-	726	119896	119937	119910	42	121	46
12h	PC-12	LT934125.1	-	730	120393	120442	120431	50	119	46
12h	PC-12	LT934125.1	-	770	126925	127017	126958	93	126	46
12h	PC-12	LT934125.1	-	789	128678	128738	128732	61	5984	46
12h	PC-12	LT934125.1	-	820	136183	136244	136235	62	202	46
12h	PC-12	LT934125.1	+	3	955	1019	990	65	161	59
12h	PC-12	LT934125.1	+	6	1295	1369	1337	75	121	59
12h	PC-12	LT934125.1	+	9	1583	1655	1600	73	395	59
12h	PC-12	LT934125.1	+	34	7553	7599	7588	47	254	59
12h	PC-12	LT934125.1	+	46	9069	9133	9113	65	1007	59
12h	PC-12	LT934125.1	+	48	9208	9274	9270	67	1604	59
12h	PC-12	LT934125.1	+	53	9640	9687	9643	48	807	59
12h	PC-12	LT934125.1	+	62	10430	10484	10431	55	128	59
12h	PC-12	LT934125.1	+	74	11791	11803	11793	13	86	59
12h	PC-12	LT934125.1	+	93	14016	14054	14048	39	805	59
12h	PC-12	LT934125.1	+	174	31088	31181	31098	94	1259	59
12h	PC-12	LT934125.1	+	183	31994	32051	32038	58	14491	59
12h	PC-12	LT934125.1	+	184	32056	32110	32091	55	102	59
12h	PC-12	LT934125.1	+	185	32112	32174	32161	63	126	59
12h	PC-12	LT934125.1	+	187	32239	32328	32269	90	77	59
12h	PC-12	LT934125.1	+	235	44728	44818	44812	91	1522	59
12h	PC-12	LT934125.1	+	247	46005	46059	46023	55	102	59
12h	PC-12	LT934125.1	+	273	48565	48622	48567	58	1718	59
12h	PC-12	LT934125.1	+	296	51231	51264	51235	34	666	59
12h	PC-12	LT934125.1	+	309	52434	52504	52460	71	755	59
12h	PC-12	LT934125.1	+	321	53606	53669	53648	64	891	59
12h	PC-12	LT934125.1	+	338	55295	55359	55352	65	117	59
12h	PC-12	LT934125.1	+	342	55702	55791	55712	90	99	59
12h	PC-12	LT934125.1	+	361	59032	59124	59068	93	521	59
12h	PC-12	LT934125.1	+	373	60230	60260	60235	31	217	59
12h	PC-12	LT934125.1	+	412	66335	66401	66338	67	432	59
12h	PC-12	LT934125.1	+	439	69228	69301	69237	74	201	59
12h	PC-12	LT934125.1	+	451	70088	70144	70090	57	95	59
12h	PC-12	LT934125.1	+	456	70490	70544	70531	55	5254	59
12h	PC-12	LT934125.1	+	474	72755	72820	72759	66	77	59
12h	PC-12	LT934125.1	+	484	74397	74461	74402	65	1269	59
12h	PC-12	LT934125.1	+	526	79432	79500	79444	69	2572	59
12h	PC-12	LT934125.1	+	600	91407	91485	91409	79	203	59
12h	PC-12	LT934125.1	+	611	92451	92510	92453	60	96	59
12h	PC-12	LT934125.1	+	695	107473	107534	107482	62	202	59
12h	PC-12	LT934125.1	+	726	114979	115039	114985	61	5972	59
12h	PC-12	LT934125.1	+	746	116722	116777	116759	56	77	59
12h	PC-12	LT934125.1	+	761	118852	118938	118864	87	7521	59
12h	PC-12	LT934125.1	+	776	120051	120138	120081	88	76	59
12h	PC-12	LT934125.1	+	778	120238	120331	120312	94	85	59
12h	PC-12	LT934125.1	+	780	120554	120561	120555	8	155	59
12h	PC-12	LT934125.1	+	793	121783	121858	121784	76	1197	59
12h	PC-12	LT934125.1	+	806	122978	123038	122979	61	493	59
12h	PC-12	LT934125.1	+	824	124725	124766	124756	42	1095	59
12h	PC-12	LT934125.1	+	830	125177	125236	125225	60	2399	59
12h	PC-12	LT934125.1	+	850	128001	128073	128061	73	106	59
12h	PC-12	LT934125.1	+	852	128174	128221	128189	48	86	59
12h	PC-12	LT934125.1	+	883	136138	136224	136158	87	173	59
12h	PC-12	LT934125.1	+	884	136298	136374	136348	77	88	59
1h	PC-12	LT934125.1	-	3	9494	9494	9494	1	5	46
1h	PC-12	LT934125.1	-	14	34436	34478	34474	43	6	46
1h	PC-12	LT934125.1	-	17	51146	51147	51147	2	10	46
1h	PC-12	LT934125.1	-	19	56115	56191	56188	77	12	46
1h	PC-12	LT934125.1	-	21	63417	63420	63420	4	10	46
1h	PC-12	LT934125.1	-	36	97312	97366	97361	55	35	46
1h	PC-12	LT934125.1	-	45	128714	128732	128732	19	33	46
1h	PC-12	LT934125.1	+	1	1334	1339	1337	6	11	59
1h	PC-12	LT934125.1	+	5	9270	9270	9270	1	10	59
1h	PC-12	LT934125.1	+	18	48567	48586	48567	20	22	59
1h	PC-12	LT934125.1	+	22	52444	52460	52460	17	8	59
1h	PC-12	LT934125.1	+	28	59044	59074	59044	31	20	59
1h	PC-12	LT934125.1	+	35	70529	70595	70529	67	8	59
1h	PC-12	LT934125.1	+	36	74400	74403	74400	4	6	59
1h	PC-12	LT934125.1	+	38	79432	79444	79444	13	12	59
1h	PC-12	LT934125.1	+	45	114985	115003	114985	19	33	59
1h	PC-12	LT934125.1	+	53	118860	118866	118864	7	28	59
1h	PC-12	LT934125.1	+	63	122979	122981	122979	3	5	59
1h	PC-12	LT934125.1	+	66	125222	125225	125225	4	30	59
2.5h	PC-12	LT934125.1	-	4	3880	3911	3908	32	14	46
2.5h	PC-12	LT934125.1	-	7	9490	9501	9494	12	19	46
2.5h	PC-12	LT934125.1	-	9	16919	16991	16919	73	6	46
2.5h	PC-12	LT934125.1	-	27	29403	29414	29409	12	18	46
2.5h	PC-12	LT934125.1	-	30	34474	34480	34474	7	7	46
2.5h	PC-12	LT934125.1	-	33	51051	51147	51147	97	13	46
2.5h	PC-12	LT934125.1	-	38	56177	56194	56188	18	50	46
2.5h	PC-12	LT934125.1	-	41	63416	63427	63420	12	96	46
2.5h	PC-12	LT934125.1	-	65	96534	96598	96534	65	5	46
2.5h	PC-12	LT934125.1	-	70	97324	97363	97339	40	66	46
2.5h	PC-12	LT934125.1	-	83	127117	127191	127117	75	6	46
2.5h	PC-12	LT934125.1	-	84	127314	127377	127314	64	6	46
2.5h	PC-12	LT934125.1	-	88	128698	128732	128732	35	80	46
2.5h	PC-12	LT934125.1	+	2	1302	1358	1334	57	28	59
2.5h	PC-12	LT934125.1	+	3	1542	1600	1600	59	6	59
2.5h	PC-12	LT934125.1	+	7	9267	9278	9270	12	39	59
2.5h	PC-12	LT934125.1	+	9	9640	9650	9644	11	12	59
2.5h	PC-12	LT934125.1	+	21	31089	31116	31098	28	23	59
2.5h	PC-12	LT934125.1	+	24	32036	32038	32038	3	16	59
2.5h	PC-12	LT934125.1	+	25	44810	44812	44810	3	10	59
2.5h	PC-12	LT934125.1	+	32	48565	48571	48567	7	83	59
2.5h	PC-12	LT934125.1	+	38	51230	51239	51230	10	28	59
2.5h	PC-12	LT934125.1	+	39	52440	52484	52460	45	34	59
2.5h	PC-12	LT934125.1	+	44	59041	59095	59068	55	59	59
2.5h	PC-12	LT934125.1	+	56	70525	70532	70531	8	31	59
2.5h	PC-12	LT934125.1	+	59	74400	74408	74400	9	13	59
2.5h	PC-12	LT934125.1	+	63	79401	79461	79444	61	42	59
2.5h	PC-12	LT934125.1	+	70	91409	91448	91412	40	6	59
2.5h	PC-12	LT934125.1	+	77	114985	115019	114985	35	80	59
2.5h	PC-12	LT934125.1	+	81	116340	116403	116340	64	6	59
2.5h	PC-12	LT934125.1	+	82	116526	116600	116526	75	6	59
2.5h	PC-12	LT934125.1	+	86	118859	118906	118864	48	83	59
2.5h	PC-12	LT934125.1	+	92	119869	119964	119869	96	5	59
2.5h	PC-12	LT934125.1	+	96	121784	121786	121784	3	10	59
2.5h	PC-12	LT934125.1	+	101	124756	124757	124756	2	10	59
2.5h	PC-12	LT934125.1	+	103	125223	125232	125223	10	63	59
2h	PC-12	LT934125.1	+	2	1295	1393	1337	99	34	59
2h	PC-12	LT934125.1	+	7	7588	7595	7591	8	7	59
2h	PC-12	LT934125.1	+	9	9267	9274	9270	8	40	59
2h	PC-12	LT934125.1	+	11	9644	9653	9644	10	7	59
2h	PC-12	LT934125.1	+	15	14048	14101	14048	54	12	59
2h	PC-12	LT934125.1	+	25	31095	31098	31098	4	34	59
2h	PC-12	LT934125.1	+	27	31955	32041	32036	87	10	59
2h	PC-12	LT934125.1	+	31	44809	44812	44812	4	7	59
2h	PC-12	LT934125.1	+	33	46230	46236	46230	7	5	59
2h	PC-12	LT934125.1	+	39	48547	48571	48567	25	59	59
2h	PC-12	LT934125.1	+	44	51232	51248	51235	17	13	59
2h	PC-12	LT934125.1	+	47	52434	52463	52460	30	24	59
2h	PC-12	LT934125.1	+	59	59032	59074	59068	43	53	59
2h	PC-12	LT934125.1	+	72	70529	70561	70529	33	34	59
2h	PC-12	LT934125.1	+	75	74400	74402	74400	3	7	59
2h	PC-12	LT934125.1	+	76	76683	76685	76683	3	5	59
2h	PC-12	LT934125.1	+	79	78035	78078	78035	44	6	59
2h	PC-12	LT934125.1	+	81	79397	79465	79444	69	35	59
2h	PC-12	LT934125.1	+	102	114985	115029	114985	45	141	59
2h	PC-12	LT934125.1	+	109	116754	116792	116754	39	5	59
2h	PC-12	LT934125.1	+	111	117769	117769	117769	1	5	59
2h	PC-12	LT934125.1	+	113	118859	118899	118864	41	125	59
2h	PC-12	LT934125.1	+	121	121784	121787	121784	4	16	59
2h	PC-12	LT934125.1	+	123	122922	122988	122979	67	23	59
2h	PC-12	LT934125.1	+	126	124756	124796	124756	41	6	59
2h	PC-12	LT934125.1	+	128	125223	125229	125225	7	68	59
2h	PC-12	LT934125.1	-	5	3877	3912	3910	36	13	46
2h	PC-12	LT934125.1	-	9	9475	9497	9494	23	17	46
2h	PC-12	LT934125.1	-	18	19470	19473	19471	4	8	46
2h	PC-12	LT934125.1	-	26	29378	29414	29412	37	17	46
2h	PC-12	LT934125.1	-	32	34474	34478	34476	5	5	46
2h	PC-12	LT934125.1	-	40	51147	51147	51147	1	7	46
2h	PC-12	LT934125.1	-	43	56185	56194	56188	10	57	46
2h	PC-12	LT934125.1	-	45	63415	63420	63420	6	46	46
2h	PC-12	LT934125.1	-	48	65718	65752	65752	35	9	46
2h	PC-12	LT934125.1	-	51	81804	81897	81806	94	10	46
2h	PC-12	LT934125.1	-	65	94850	94947	94850	98	6	46
2h	PC-12	LT934125.1	-	70	97327	97368	97361	42	67	46
2h	PC-12	LT934125.1	-	96	126925	126963	126963	39	5	46
2h	PC-12	LT934125.1	-	103	128688	128732	128732	45	141	46
4h	PC-12	LT934125.1	-	6	3838	3912	3911	75	20	46
4h	PC-12	LT934125.1	-	14	8909	8997	8997	89	5	46
4h	PC-12	LT934125.1	-	17	9406	9499	9494	94	81	46
4h	PC-12	LT934125.1	-	24	17123	17159	17123	37	6	46
4h	PC-12	LT934125.1	-	26	17338	17373	17341	36	13	46
4h	PC-12	LT934125.1	-	27	17437	17472	17456	36	6	46
4h	PC-12	LT934125.1	-	36	19469	19473	19473	5	72	46
4h	PC-12	LT934125.1	-	41	21938	21947	21939	10	16	46
4h	PC-12	LT934125.1	-	44	22362	22458	22379	97	6	46
4h	PC-12	LT934125.1	-	58	29046	29080	29046	35	6	46
4h	PC-12	LT934125.1	-	61	29404	29417	29411	14	130	46
4h	PC-12	LT934125.1	-	66	30873	30882	30873	10	5	46
4h	PC-12	LT934125.1	-	76	33928	33969	33928	42	5	46
4h	PC-12	LT934125.1	-	78	34436	34478	34478	43	8	46
4h	PC-12	LT934125.1	-	87	44885	44893	44885	9	5	46
4h	PC-12	LT934125.1	-	91	50589	50641	50589	53	6	46
4h	PC-12	LT934125.1	-	95	51055	51147	51147	93	54	46
4h	PC-12	LT934125.1	-	101	55378	55439	55439	62	8	46
4h	PC-12	LT934125.1	-	108	56179	56194	56188	16	245	46
4h	PC-12	LT934125.1	-	110	56944	56948	56946	5	56	46
4h	PC-12	LT934125.1	-	123	63375	63430	63420	56	1621	46
4h	PC-12	LT934125.1	-	134	65718	65775	65750	58	34	46
4h	PC-12	LT934125.1	-	146	76860	76863	76860	4	5	46
4h	PC-12	LT934125.1	-	152	80835	80911	80842	77	6	46
4h	PC-12	LT934125.1	-	157	81803	81897	81804	95	68	46
4h	PC-12	LT934125.1	-	162	87123	87196	87161	74	35	46
4h	PC-12	LT934125.1	-	164	87386	87447	87442	62	7	46
4h	PC-12	LT934125.1	-	168	92343	92415	92415	73	5	46
4h	PC-12	LT934125.1	-	171	92846	92936	92933	91	98	46
4h	PC-12	LT934125.1	-	175	93644	93654	93654	11	19	46
4h	PC-12	LT934125.1	-	178	94526	94529	94526	4	6	46
4h	PC-12	LT934125.1	-	180	94941	94948	94947	8	40	46
4h	PC-12	LT934125.1	-	185	96510	96601	96510	92	7	46
4h	PC-12	LT934125.1	-	190	97291	97361	97361	71	67	46
4h	PC-12	LT934125.1	-	211	107369	107378	107369	10	7	46
4h	PC-12	LT934125.1	-	212	107539	107560	107559	22	6	46
4h	PC-12	LT934125.1	-	215	115527	115532	115527	6	7	46
4h	PC-12	LT934125.1	-	230	127000	127038	127000	39	7	46
4h	PC-12	LT934125.1	-	231	127122	127185	127122	64	7	46
4h	PC-12	LT934125.1	-	232	127204	127248	127204	45	5	46
4h	PC-12	LT934125.1	-	233	127293	127362	127293	70	7	46
4h	PC-12	LT934125.1	-	234	127396	127459	127441	64	8	46
4h	PC-12	LT934125.1	-	235	127498	127597	127563	100	15	46
4h	PC-12	LT934125.1	-	237	127803	127902	127803	100	5	46
4h	PC-12	LT934125.1	-	238	127958	127992	127958	35	5	46
4h	PC-12	LT934125.1	-	241	128694	128738	128732	45	1478	46
4h	PC-12	LT934125.1	-	246	135355	135444	135407	90	9	46
4h	PC-12	LT934125.1	-	250	136232	136297	136232	66	10	46
4h	PC-12	LT934125.1	+	1	779	782	779	4	6	59
4h	PC-12	LT934125.1	+	2	960	994	990	35	24	59
4h	PC-12	LT934125.1	+	3	1334	1352	1337	19	64	59
4h	PC-12	LT934125.1	+	4	1519	1604	1600	86	41	59
4h	PC-12	LT934125.1	+	12	7587	7596	7588	10	49	59
4h	PC-12	LT934125.1	+	13	7768	7814	7811	47	8	59
4h	PC-12	LT934125.1	+	17	9107	9113	9113	7	28	59
4h	PC-12	LT934125.1	+	18	9267	9286	9270	20	129	59
4h	PC-12	LT934125.1	+	20	9640	9723	9644	84	37	59
4h	PC-12	LT934125.1	+	21	9798	9895	9798	98	5	59
4h	PC-12	LT934125.1	+	30	14042	14078	14048	37	138	59
4h	PC-12	LT934125.1	+	34	15113	15200	15113	88	5	59
4h	PC-12	LT934125.1	+	46	30240	30298	30240	59	8	59
4h	PC-12	LT934125.1	+	48	30932	30994	30932	63	6	59
4h	PC-12	LT934125.1	+	50	31093	31151	31098	59	115	59
4h	PC-12	LT934125.1	+	55	32028	32099	32038	72	221	59
4h	PC-12	LT934125.1	+	61	44807	44852	44812	46	112	59
4h	PC-12	LT934125.1	+	73	47311	47319	47311	9	7	59
4h	PC-12	LT934125.1	+	79	48253	48294	48253	42	6	59
4h	PC-12	LT934125.1	+	81	48559	48653	48567	95	173	59
4h	PC-12	LT934125.1	+	84	48868	48950	48868	83	5	59
4h	PC-12	LT934125.1	+	91	51232	51302	51235	71	84	59
4h	PC-12	LT934125.1	+	93	51495	51556	51495	62	6	59
4h	PC-12	LT934125.1	+	95	51805	51890	51805	86	5	59
4h	PC-12	LT934125.1	+	98	52440	52491	52460	52	85	59
4h	PC-12	LT934125.1	+	103	53606	53652	53648	47	23	59
4h	PC-12	LT934125.1	+	107	54464	54551	54464	88	5	59
4h	PC-12	LT934125.1	+	114	59036	59097	59068	62	90	59
4h	PC-12	LT934125.1	+	121	60232	60319	60235	88	23	59
4h	PC-12	LT934125.1	+	134	66335	66347	66338	13	23	59
4h	PC-12	LT934125.1	+	143	69161	69251	69237	91	11	59
4h	PC-12	LT934125.1	+	148	70057	70090	70090	34	9	59
4h	PC-12	LT934125.1	+	151	70525	70624	70531	100	338	59
4h	PC-12	LT934125.1	+	161	74400	74431	74402	32	146	59
4h	PC-12	LT934125.1	+	166	76683	76748	76683	66	10	59
4h	PC-12	LT934125.1	+	170	78037	78062	78037	26	8	59
4h	PC-12	LT934125.1	+	176	79398	79461	79444	64	87	59
4h	PC-12	LT934125.1	+	179	79714	79806	79714	93	8	59
4h	PC-12	LT934125.1	+	196	91360	91412	91409	53	22	59
4h	PC-12	LT934125.1	+	198	91545	91570	91548	26	6	59
4h	PC-12	LT934125.1	+	212	107420	107485	107420	66	10	59
4h	PC-12	LT934125.1	+	216	108273	108362	108310	90	9	59
4h	PC-12	LT934125.1	+	222	114979	115023	114985	45	1476	59
4h	PC-12	LT934125.1	+	225	115725	115759	115725	35	5	59
4h	PC-12	LT934125.1	+	226	115815	115914	115815	100	5	59
4h	PC-12	LT934125.1	+	228	116120	116219	116154	100	15	59
4h	PC-12	LT934125.1	+	229	116258	116321	116276	64	8	59
4h	PC-12	LT934125.1	+	230	116355	116424	116355	70	7	59
4h	PC-12	LT934125.1	+	231	116469	116513	116469	45	5	59
4h	PC-12	LT934125.1	+	232	116532	116595	116532	64	7	59
4h	PC-12	LT934125.1	+	233	116679	116717	116679	39	7	59
4h	PC-12	LT934125.1	+	235	117603	117607	117607	5	7	59
4h	PC-12	LT934125.1	+	236	117769	117789	117769	21	8	59
4h	PC-12	LT934125.1	+	241	118841	118939	118864	99	611	59
4h	PC-12	LT934125.1	+	244	119304	119395	119304	92	5	59
4h	PC-12	LT934125.1	+	248	119747	119815	119747	69	7	59
4h	PC-12	LT934125.1	+	249	119877	119958	119877	82	6	59
4h	PC-12	LT934125.1	+	252	120555	120558	120555	4	11	59
4h	PC-12	LT934125.1	+	256	121723	121788	121784	66	136	59
4h	PC-12	LT934125.1	+	257	121894	121925	121894	32	5	59
4h	PC-12	LT934125.1	+	264	122924	122988	122979	65	48	59
4h	PC-12	LT934125.1	+	272	124491	124575	124491	85	6	59
4h	PC-12	LT934125.1	+	274	124754	124827	124756	74	27	59
4h	PC-12	LT934125.1	+	275	125183	125229	125225	47	186	59
4h	PC-12	LT934125.1	+	282	128185	128190	128185	6	7	59
4h	PC-12	LT934125.1	+	285	136157	136178	136158	22	6	59
4h	PC-12	LT934125.1	+	286	136339	136348	136348	10	7	59
6h	PC-12	LT934125.1	-	12	3876	3942	3912	67	57	46
6h	PC-12	LT934125.1	-	24	8997	9080	8997	84	28	46
6h	PC-12	LT934125.1	-	28	9466	9533	9494	68	156	46
6h	PC-12	LT934125.1	-	45	17300	17389	17341	90	30	46
6h	PC-12	LT934125.1	-	46	17440	17509	17440	70	22	46
6h	PC-12	LT934125.1	-	61	19435	19516	19473	82	248	46
6h	PC-12	LT934125.1	-	70	21919	21985	21944	67	46	46
6h	PC-12	LT934125.1	-	74	22368	22463	22458	96	19	46
6h	PC-12	LT934125.1	-	102	29355	29417	29411	63	588	46
6h	PC-12	LT934125.1	-	109	30812	30909	30877	98	24	46
6h	PC-12	LT934125.1	-	126	34436	34494	34478	59	51	46
6h	PC-12	LT934125.1	-	149	44886	44893	44889	8	43	46
6h	PC-12	LT934125.1	-	158	50569	50668	50641	100	27	46
6h	PC-12	LT934125.1	-	161	50977	51067	50986	91	21	46
6h	PC-12	LT934125.1	-	162	51094	51147	51147	54	158	46
6h	PC-12	LT934125.1	-	188	56106	56195	56188	90	1055	46
6h	PC-12	LT934125.1	-	196	56915	56955	56946	41	199	46
6h	PC-12	LT934125.1	-	210	59256	59281	59277	26	19	46
6h	PC-12	LT934125.1	-	215	63356	63427	63420	72	7289	46
6h	PC-12	LT934125.1	-	231	65679	65752	65750	74	122	46
6h	PC-12	LT934125.1	-	269	80823	80901	80858	79	28	46
6h	PC-12	LT934125.1	-	278	81803	81900	81804	98	390	46
6h	PC-12	LT934125.1	-	288	87154	87215	87161	62	102	46
6h	PC-12	LT934125.1	-	291	87414	87479	87447	66	19	46
6h	PC-12	LT934125.1	-	298	89078	89177	89079	100	19	46
6h	PC-12	LT934125.1	-	312	92897	92947	92933	51	469	46
6h	PC-12	LT934125.1	-	318	93583	93657	93654	75	98	46
6h	PC-12	LT934125.1	-	323	94526	94565	94526	40	33	46
6h	PC-12	LT934125.1	-	324	94887	94977	94947	91	184	46
6h	PC-12	LT934125.1	-	339	97291	97368	97361	78	221	46
6h	PC-12	LT934125.1	-	367	107366	107452	107369	87	22	46
6h	PC-12	LT934125.1	-	368	107516	107560	107559	45	31	46
6h	PC-12	LT934125.1	-	378	115496	115533	115532	38	26	46
6h	PC-12	LT934125.1	-	408	127054	127131	127089	78	32	46
6h	PC-12	LT934125.1	-	410	127216	127306	127242	91	25	46
6h	PC-12	LT934125.1	-	413	127514	127611	127532	98	41	46
6h	PC-12	LT934125.1	-	422	128688	128738	128732	51	4554	46
6h	PC-12	LT934125.1	-	442	136212	136244	136232	33	33	46
6h	PC-12	LT934125.1	-	443	136269	136349	136295	81	22	46
6h	PC-12	LT934125.1	+	3	959	994	990	36	83	59
6h	PC-12	LT934125.1	+	6	1334	1397	1337	64	237	59
6h	PC-12	LT934125.1	+	8	1590	1644	1600	55	158	59
6h	PC-12	LT934125.1	+	23	7564	7605	7588	42	141	59
6h	PC-12	LT934125.1	+	32	9107	9160	9113	54	144	59
6h	PC-12	LT934125.1	+	33	9267	9343	9270	77	552	59
6h	PC-12	LT934125.1	+	35	9548	9614	9548	67	26	59
6h	PC-12	LT934125.1	+	36	9640	9700	9644	61	164	59
6h	PC-12	LT934125.1	+	56	14042	14087	14048	46	499	59
6h	PC-12	LT934125.1	+	104	31042	31103	31098	62	423	59
6h	PC-12	LT934125.1	+	105	31134	31198	31150	65	20	59
6h	PC-12	LT934125.1	+	112	32005	32080	32038	76	1426	59
6h	PC-12	LT934125.1	+	132	44779	44875	44812	97	494	59
6h	PC-12	LT934125.1	+	142	46023	46042	46024	20	23	59
6h	PC-12	LT934125.1	+	151	47282	47357	47315	76	32	59
6h	PC-12	LT934125.1	+	163	48556	48645	48567	90	539	59
6h	PC-12	LT934125.1	+	167	48916	49000	48931	85	19	59
6h	PC-12	LT934125.1	+	178	51148	51242	51235	95	323	59
6h	PC-12	LT934125.1	+	187	52440	52496	52460	57	287	59
6h	PC-12	LT934125.1	+	197	53575	53655	53648	81	186	59
6h	PC-12	LT934125.1	+	227	59025	59100	59068	76	358	59
6h	PC-12	LT934125.1	+	235	60188	60258	60235	71	58	59
6h	PC-12	LT934125.1	+	251	66264	66344	66338	81	87	59
6h	PC-12	LT934125.1	+	267	69191	69247	69244	57	33	59
6h	PC-12	LT934125.1	+	272	69764	69834	69765	71	33	59
6h	PC-12	LT934125.1	+	275	70057	70152	70090	96	36	59
6h	PC-12	LT934125.1	+	279	70525	70568	70531	44	1342	59
6h	PC-12	LT934125.1	+	290	72759	72791	72759	33	25	59
6h	PC-12	LT934125.1	+	295	74377	74411	74402	35	437	59
6h	PC-12	LT934125.1	+	304	76677	76687	76683	11	30	59
6h	PC-12	LT934125.1	+	309	78035	78092	78044	58	32	59
6h	PC-12	LT934125.1	+	320	79437	79481	79444	45	329	59
6h	PC-12	LT934125.1	+	365	91409	91448	91412	40	62	59
6h	PC-12	LT934125.1	+	366	91509	91550	91548	42	24	59
