seqnames	strand	gene	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines	dcDNA_TC_significance
LT934125.1	-	TC_196	196	32685	32696	0	23	414518.927567	0	0	3.68016895976738	32686	32686	32686	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_197	197	35870	35870	0	1	54.540496	0	0	0	35870	35870	35870	6h	C6	*
LT934125.1	-	TC_198	198	42005	42012	0	21	88092.327434	0	0	3.52192809435073	42005	42005	42005	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_199	199	50025	50062	37	16	5767.087778	0	0	11.0114583460178	50030	50025	50062	12h, 1h, 2h, 6h, 8h, 2.5h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_200	200	50375	50375	0	1	51.474752	0	0	0	50375	50375	50375	4h	PC_12	*
LT934125.1	-	TC_201	201	52392	52410	18	3	1987.48752	0	0	0	52398	52392	52410	1h, 1.5h, 4h	C6, PC_12	**
LT934125.1	-	TC_202	202	52444	52445	1	4	139.705754	0	0	0	52445	52444	52445	6h, 12h, 4h	C6, PC_12, PK_15	**
LT934125.1	-	TC_203	203	52695	52695	0	1	51.474752	0	0	0	52695	52695	52695	4h	PC_12	
LT934125.1	-	TC_204	204	52799	52799	0	1	51.474752	0	0	0	52799	52799	52799	4h	PC_12	*
LT934125.1	-	TC_205	205	53649	53649	0	1	10.806839	0	0	0	53649	53649	53649	12h	PK_15	*
LT934125.1	-	TC_206	206	53788	53792	4	2	32.075072	0	0	0	53790	53788	53792	12h, 6h	PK_15	*
LT934125.1	-	TC_207	207	53842	53842	0	1	54.540496	0	0	0	53842	53842	53842	6h	C6	*
LT934125.1	-	TC_208	208	54067	54067	0	1	51.474752	0	0	0	54067	54067	54067	4h	PC_12	*
LT934125.1	-	TC_209	209	54124	54126	2	3	115.278252	0	0	0	54125	54124	54126	6h, 4h, 12h	C6, PC_12, PK_15	**
LT934125.1	-	TC_210	210	54341	54342	0	9	418.062318	0	0	0.970950596280992	54341	54341	54341	12h, 6h, 8h, 4h, 2h	C6, PC_12, PK_15	**
LT934125.1	-	TC_211	211	54494	54494	0	2	35.208861	0	0	0	54494	54494	54494	8h, 12h	PC_12, PK_15	*
LT934125.1	-	TC_212	212	54719	54719	0	2	36.430454	0	0	0	54719	54719	54719	6h, 12h	PC_12, PK_15	*
LT934125.1	-	TC_213	213	55151	55151	0	1	84.338366	0	0	0	55151	55151	55151	2h	PK_15	*
LT934125.1	-	TC_214	214	55262	55286	0	23	1311637.994768	0.396054063628161	0.396054063628161	4.48837208781599	55270	55270	55270	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_215	215	55363	55363	0	1	15.092897	0	0	0	55363	55363	55363	6h	PK_15	*
LT934125.1	-	TC_216	216	55639	55639	0	5	224.644862	0	0	0	55639	55639	55639	4h, 12h, 6h, 8h	PC_12, PK_15	**
LT934125.1	-	TC_217	217	55720	55720	0	1	51.474752	0	0	0	55720	55720	55720	4h	PC_12	*
LT934125.1	-	TC_218	218	55837	55837	0	2	28.861169	0	0	0	55837	55837	55837	12h, 8h	PK_15	*
LT934125.1	-	TC_219	219	55988	55988	0	1	84.338366	0	0	0	55988	55988	55988	2h	PK_15	*
LT934125.1	-	TC_220	220	56317	56318	0	9	798.109099	0	0	0.5665095109892	56318	56318	56318	12h, 6h, 8h, 4h	C6, PC_12, PK_15	***
LT934125.1	-	TC_221	221	56526	56526	0	1	12.174485	0	0	0	56526	56526	56526	12h	C6	*
LT934125.1	-	TC_222	222	58863	58863	0	1	12.472218	0	0	0	58863	58863	58863	8h	PK_15	*
LT934125.1	-	TC_223	223	59087	59087	0	3	747.103942	0	0	0	59087	59087	59087	1h, 6h	C6, PK_15	**
LT934125.1	-	TC_224	224	60234	60234	0	1	14.609382	0	0	0	60234	60234	60234	12h	C6	*
LT934125.1	-	TC_225	225	62344	62344	0	1	16.982175	0	0	0	62344	62344	62344	12h	PK_15	*
LT934125.1	-	TC_226	226	62542	62564	22	2	78.943537	0	0	0	62553	62542	62564	6h, 8h	C6	*
LT934125.1	-	TC_227	227	63149	63188	14	23	300598.305374	0	0	9.7150145922339	63162	63153	63167	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_228	228	63307	63319	0	1	65.742218	5.71662131756949	5.71662131756949	5.71662131756949	63308	63308	63308	12h	C6	*
LT934125.1	-	TC_229	229	64131	64151	5	22	83403.875919	0	0	5.86770352477795	64134	64133	64138	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_230	230	67868	67868	0	1	54.540496	0	0	0	67868	67868	67868	6h	C6	
LT934125.1	-	TC_231	231	70190	70190	0	1	25.154828	0	0	0	70190	70190	70190	6h	PK_15	*
LT934125.1	-	TC_232	232	70314	70314	0	4	100.563959	0	0	0	70314	70314	70314	12h, 4h, 6h	PC_12, PK_15	**
LT934125.1	-	TC_233	233	70531	70531	0	1	9.263004	0	0	0	70531	70531	70531	12h	PK_15	*
LT934125.1	-	TC_234	234	71544	71554	3	20	49265.513213	0	0	4.34660495711308	71549	71546	71549	12h, 2h, 4h, 6h, 8h, 1h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_235	235	71627	71635	8	2	138.878862	0	0	0	71631	71627	71635	6h, 2h	C6, PK_15	**
LT934125.1	-	TC_236	236	71860	71860	0	1	25.623615	0	0	0	71860	71860	71860	6h	PC_12	*
LT934125.1	-	TC_237	237	75637	75653	15	14	2601.061578	0	0	11.4749589261117	75644	75637	75652	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_238	238	76252	76252	0	1	51.474752	0	0	0	76252	76252	76252	4h	PC_12	*
LT934125.1	-	TC_239	239	80350	80365	0	22	488335.28549	0	0	2.33030600623731	80352	80352	80352	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_240	240	86123	86143	5	18	24584.598015	0	0	7.48397506123742	86132	86128	86133	12h, 2h, 4h, 6h, 8h, 1h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_241	241	91403	91403	0	1	762.195122	0	0	0	91403	91403	91403	1h	PC_12	*
LT934125.1	-	TC_242	242	92064	92085	2	23	535839.342756	0	0	5.75821624651764	92069	92069	92071	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_243	243	93202	93274	42	15	6607.417583	0	0	17.0868654310772	93239	93211	93253	12h, 1h, 4h, 6h, 8h, 2h	C6, PC_12, PK_15	***
LT934125.1	-	TC_244	244	94764	94764	0	1	25.623615	0	0	0	94764	94764	94764	6h	PC_12	*
LT934125.1	-	TC_245	245	95881	95898	0	23	1304327.558596	0	0	5.1445142926267	95889	95889	95889	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_246	246	97402	97402	0	1	283.607487	0	0	0	97402	97402	97402	4h	C6	
LT934125.1	-	TC_247	247	101265	101265	0	1	51.474752	0	0	0	101265	101265	101265	4h	PC_12	*
LT934125.1	-	TC_248	248	102313	102313	0	1	84.338366	0	0	0	102313	102313	102313	2h	PK_15	*
LT934125.1	-	TC_249	249	102356	102373	4	23	600373.000271	0	0	5.61470984411521	102361	102357	102361	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_250	250	105391	105391	0	1	748.502994	0	0	0	105391	105391	105391	1h	PK_15	*
LT934125.1	-	TC_251	251	106062	106062	0	1	54.540496	0	0	0	106062	106062	106062	6h	C6	*
LT934125.1	-	TC_252	252	107029	107029	0	1	84.338366	0	0	0	107029	107029	107029	2h	PK_15	*
LT934125.1	-	TC_253	253	107118	107118	0	1	54.540496	0	0	0	107118	107118	107118	6h	C6	*
LT934125.1	-	TC_254	254	107502	107502	0	1	54.540496	0	0	0	107502	107502	107502	6h	C6	*
LT934125.1	-	TC_255	255	108137	108137	0	1	25.623615	0	0	0	108137	108137	108137	6h	PC_12	
LT934125.1	-	TC_256	256	108501	108501	0	1	51.474752	0	0	0	108501	108501	108501	4h	PC_12	
LT934125.1	-	TC_257	257	108759	108759	0	1	51.474752	0	0	0	108759	108759	108759	4h	PC_12	
LT934125.1	-	TC_258	258	110202	110209	7	13	21908.498173	0	0	4.44955227767627	110206	110202	110209	6h, 8h, 0.5h, 12h, 1h, 2h, 4h	C6, PC_12, PK_15	
LT934125.1	-	TC_259	259	111765	111765	0	1	430.663221	0	0	0	111765	111765	111765	2.5h	PC_12	
LT934125.1	-	TC_260	260	112421	112421	0	1	51.474752	0	0	0	112421	112421	112421	4h	PC_12	
LT934125.1	-	TC_261	261	114985	114985	0	1	15.092897	0	0	0	114985	114985	114985	6h	PK_15	*
LT934125.1	-	TC_262	262	115587	115587	0	1	54.540496	0	0	0	115587	115587	115587	6h	C6	*
LT934125.1	-	TC_263	263	115880	115880	0	1	261.437908	0	0	0	115880	115880	115880	2h	PC_12	*
LT934125.1	-	TC_264	264	115967	115967	0	1	25.154828	0	0	0	115967	115967	115967	6h	PK_15	*
LT934125.1	-	TC_265	265	116024	116024	0	1	84.338366	0	0	0	116024	116024	116024	2h	PK_15	*
LT934125.1	-	TC_266	266	116075	116099	24	2	67.012714	0	0	0	116087	116075	116099	6h, 8h	C6, PK_15	*
LT934125.1	-	TC_267	267	116164	116164	0	1	84.338366	0	0	0	116164	116164	116164	2h	PK_15	*
LT934125.1	-	TC_268	268	116253	116253	0	3	49.342415	0	0	0	116253	116253	116253	12h, 6h, 8h	PK_15	*
LT934125.1	-	TC_269	269	116355	116355	0	1	51.474752	0	0	0	116355	116355	116355	4h	PC_12	*
LT934125.1	-	TC_270	270	116465	116465	0	1	25.623615	0	0	0	116465	116465	116465	6h	PC_12	*
LT934125.1	-	TC_271	271	116528	116543	15	5	381.637307	0	0	0	116540	116528	116543	12h, 2h, 4h, 8h	C6, PC_12, PK_15	**
LT934125.1	-	TC_272	272	116586	116608	21	17	8429.540826	0	0	5.56999985547025	116600	116586	116607	12h, 1h, 2h, 4h, 6h, 8h, 2.5h	C6, PC_12, PK_15	***
LT934125.1	-	TC_273	273	116648	116648	0	1	261.437908	0	0	0	116648	116648	116648	2h	PC_12	*
LT934125.1	-	TC_274	274	116716	116716	0	1	51.474752	0	0	0	116716	116716	116716	4h	PC_12	*
LT934125.1	-	TC_275	275	116948	116952	4	2	80.164111	0	0	0	116950	116948	116952	6h	C6, PC_12	*
LT934125.1	-	TC_276	276	117056	117056	0	1	283.607487	0	0	0	117056	117056	117056	4h	C6	*
LT934125.1	-	TC_277	277	117185	117185	0	1	24.403041	0	0	0	117185	117185	117185	8h	C6	*
LT934125.1	-	TC_278	278	117248	117258	2	13	5222.691197	0	0	4.90258560549658	117253	117253	117255	12h, 6h, 8h, 2h, 1.5h, 2.5h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_279	279	118861	118864	3	7	773.908238	0	0	0	118863	118861	118864	1h, 8h, 12h, 6h	C6, PC_12, PK_15	
LT934125.1	-	TC_280	280	119561	119561	0	1	54.540496	0	0	0	119561	119561	119561	6h	C6	
LT934125.1	-	TC_281	281	120491	120491	0	1	283.607487	0	0	0	120491	120491	120491	4h	C6	
LT934125.1	-	TC_282	282	122306	122309	3	3	305.964811	0	0	0	122307	122306	122309	8h, 2h, 6h	C6, PC_12, PK_15	**
LT934125.1	-	TC_283	283	122907	122916	6	8	6759.473855	0	0	2.75488750216347	122912	122907	122913	12h, 6h, 8h, 2h, 1.5h, 2.5h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_284	284	124386	124386	0	1	24.403041	0	0	0	124386	124386	124386	8h	C6	*
LT934125.1	-	TC_285	285	124542	124542	0	1	762.195122	0	0	0	124542	124542	124542	1h	PC_12	*
LT934125.1	-	TC_286	286	124595	124614	19	3	56.100859	0	0	0	124601	124595	124614	12h, 6h, 8h	PC_12, PK_15	*
LT934125.1	-	TC_287	287	124707	124707	0	1	84.338366	0	0	0	124707	124707	124707	2h	PK_15	*
LT934125.1	-	TC_288	288	124757	124757	0	6	235.323887	0	0	0	124757	124757	124757	6h, 8h, 12h	C6, PC_12, PK_15	**
LT934125.1	-	TC_289	289	124979	124979	0	1	54.540496	0	0	0	124979	124979	124979	6h	C6	*
LT934125.1	-	TC_290	290	125140	125153	12	9	546.840377	0	0	5.6122000247437	125145	125141	125153	12h, 4h, 6h, 8h	C6, PC_12, PK_15	**
LT934125.1	-	TC_291	291	125350	125350	0	1	51.474752	0	0	0	125350	125350	125350	4h	PC_12	*
LT934125.1	-	TC_292	292	125415	125415	0	1	51.474752	0	0	0	125415	125415	125415	4h	PC_12	*
LT934125.1	-	TC_293	293	125935	125936	1	2	75.877793	0	0	0	125936	125935	125936	8h, 4h	C6, PC_12	*
LT934125.1	-	TC_294	294	126005	126006	1	2	703.790473	0	0	0	126006	126005	126006	1h, 4h	C6, PC_12	**
LT934125.1	-	TC_295	295	126689	126689	0	1	51.474752	0	0	0	126689	126689	126689	4h	PC_12	*
LT934125.1	-	TC_296	296	126753	126778	0	23	1185446.573556	0	0	0.804816501901996	126753	126753	126753	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_297	297	126879	126879	0	1	54.540496	0	0	0	126879	126879	126879	6h	C6	*
LT934125.1	-	TC_298	298	126963	127098	22	17	84857.792769	0	0	33.0139362836712	126980	126967	126989	12h, 1h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h, 2h	C6, PC_12, PK_15	***
LT934125.1	-	TC_299	299	126963	127102	59	18	139902.776088	4.75488750216347	4.75488750216347	33.1931340672791	127049	127025	127084	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, PC_12, PK_15	***
LT934125.1	-	TC_300	300	127145	127159	5	13	2300.827605	0	0	4.982892159347	127153	127152	127157	12h, 1h, 8h, 2h, 4h, 6h	C6, PC_12, PK_15	***
LT934125.1	-	TC_301	301	127205	127223	18	8	716.937615	0	0	8.9854435874247	127214	127205	127223	6h, 12h, 2h, 4h, 8h	C6, PC_12, PK_15	**
LT934125.1	-	TC_302	302	127247	127339	43	19	18070.483801	0	0	23.0609574411057	127276	127255	127298	12h, 2h, 4h, 6h, 8h, 1h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_303	303	127324	127324	0	2	214.433151	0	0	0	127324	127324	127324	6h, 4h	PC_12, PK_15	**
LT934125.1	-	TC_304	304	127460	127460	0	1	54.540496	0	0	0	127460	127460	127460	6h	C6	*
LT934125.1	-	TC_305	305	127528	127528	0	1	54.540496	0	0	0	127528	127528	127528	6h	C6	*
LT934125.1	-	TC_306	306	127609	127609	0	1	51.474752	0	0	0	127609	127609	127609	4h	PC_12	*
LT934125.1	-	TC_307	307	127642	127642	0	1	54.540496	0	0	0	127642	127642	127642	6h	C6	*
LT934125.1	-	TC_308	308	127714	127749	0	1	218.161984	10.3398500028846	10.3398500028846	10.3398500028846	127714	127714	127714	6h	C6	*
LT934125.1	-	TC_309	309	127788	127793	4	2	160.555744	0	0	1	127790	127788	127792	6h, 4h	C6, PC_12	**
LT934125.1	-	TC_310	310	127832	127854	12	5	282.061363	0	0	3.58496250072116	127839	127832	127844	12h, 6h, 4h, 2h	C6, PC_12, PK_15	**
LT934125.1	-	TC_311	311	127942	128017	74	7	2326.992824	0	0	15.6245321381211	127983	127942	128016	12h, 2h, 4h, 6h, 8h, 2.5h	C6, PC_12	***
LT934125.1	-	TC_312	312	128041	128046	0	1	35.216759	2.54677779500805	2.54677779500805	2.54677779500805	128046	128046	128046	6h	PK_15	*
LT934125.1	-	TC_313	313	128084	128084	0	1	508.388409	0	0	0	128084	128084	128084	2h	C6	*
LT934125.1	-	TC_314	314	128148	128148	0	1	430.663221	0	0	0	128148	128148	128148	2.5h	PC_12	*
LT934125.1	-	TC_315	315	128185	128189	4	4	90.797315	0	0	0	128188	128185	128189	4h, 12h, 6h, 8h	PC_12, PK_15	**
LT934125.1	-	TC_316	316	128222	128222	0	1	54.540496	0	0	0	128222	128222	128222	6h	C6	*
LT934125.1	-	TC_317	317	128307	128326	19	3	118.189733	0	0	0	128317	128307	128326	12h, 6h, 4h	C6, PC_12	**
LT934125.1	-	TC_318	318	128382	128382	0	1	508.388409	0	0	0	128382	128382	128382	2h	C6	*
LT934125.1	-	TC_319	319	128479	128531	29	12	4419.103437	0	0	10.1864825477502	128494	128479	128508	12h, 2h, 4h, 6h, 8h, 1h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_320	320	128604	128626	21	3	115.521063	0	0	1	128616	128604	128625	12h, 6h, 8h	C6	**
LT934125.1	-	TC_321	321	129650	129650	0	1	54.540496	0	0	0	129650	129650	129650	6h	C6	*
LT934125.1	-	TC_322	322	129913	129913	0	1	261.437908	0	0	0	129913	129913	129913	2h	PC_12	*
LT934125.1	-	TC_323	323	133657	133657	0	1	51.474752	0	0	0	133657	133657	133657	4h	PC_12	*
LT934125.1	-	TC_324	324	134885	134901	0	18	124297.351925	0	0	2.91285178322593	134888	134888	134888	12h, 2h, 4h, 6h, 8h, 1h, 2.5h	C6, PC_12, PK_15	***
LT934125.1	-	TC_325	325	135019	135019	0	1	51.474752	0	0	0	135019	135019	135019	4h	PC_12	*
LT934125.1	-	TC_326	326	135211	135212	0	1	31.653661	0.961236604722876	0.961236604722876	0.961236604722876	135211	135211	135211	12h	C6	*
LT934125.1	-	TC_327	327	135465	135511	27	7	348.691894	0	0	5.55458885167764	135483	135465	135492	12h, 6h, 8h, 4h	C6, PC_12	**
LT934125.1	-	TC_328	328	135565	135597	32	5	207.019221	0	0	0	135573	135565	135597	12h, 8h, 4h	C6, PC_12	**
LT934125.1	-	TC_329	329	135638	135666	20	4	166.597853	0	0	4.32247883612704	135651	135646	135666	12h, 8h	C6, PC_12	**
LT934125.1	-	TC_330	330	135728	135748	20	2	108.108229	0	0	1.69070188765352	135738	135728	135748	12h, 6h	C6	**
LT934125.1	-	TC_331	331	140646	140646	0	1	54.540496	0	0	0	140646	140646	140646	6h	C6	
LT934125.1	-	TC_332	332	141295	141298	3	7	3287.583796	0	0	1.4554644705856	141296	141295	141298	12h, 8h, 2h, 1.5h, 2.5h, 4h, 6h	C6, NRK, PC_12, PK_15	
LT934125.1	-	TC_333	333	141324	141327	2	8	834.338714	0	0	1.77595264240836	141324	141324	141326	6h, 12h, 2h, 8h	C6, PC_12, PK_15	
LT934125.1	-	TC_334	334	142405	142405	0	1	54.540496	0	0	0	142405	142405	142405	6h	C6	
