group	cluster	cluster_start	cluster_end	seqnames	strand	cluster_width	cluster_peak	cluster_total_count	hpi	cell_line	meta_cluster
C6_12h	540	65805	65809	LT934125.1	+	5	65807	412.619153	12h	C6	619
C6_6h	540	65805	65815	LT934125.1	+	11	65805	258.732213	6h	C6	619
C6_8h	540	65805	65832	LT934125.1	+	28	65805	96.8523	8h	C6	619
PC_12_12h	540	65805	65809	LT934125.1	+	5	65807	348.106234	12h	PC_12	619
PC_12_2h	540	65805	65809	LT934125.1	+	5	65805	2001.334223	2h	PC_12	619
PC_12_6h	540	65805	65809	LT934125.1	+	5	65805	293.161345	6h	PC_12	619
PC_12_8h	540	65805	65830	LT934125.1	+	26	65805	595.64863	8h	PC_12	619
PK_15_12h	540	65805	65809	LT934125.1	+	5	65807	260.869566	12h	PK_15	619
PK_15_4h	540	65805	65829	LT934125.1	+	25	65807	730.697412	4h	PK_15	619
PK_15_6h	540	65805	65809	LT934125.1	+	5	65807	540.326938	6h	PK_15	619
PK_15_8h	540	65805	65829	LT934125.1	+	25	65807	592.107859	8h	PK_15	619
C6_2h	540	65807	65807	LT934125.1	+	1	65807	2344.665885	2h	C6	619
C6_4h	540	65807	65807	LT934125.1	+	1	65807	525.486075	4h	C6	619
NRK_2h	540	65807	65807	LT934125.1	+	1	65807	3236.245955	2h	NRK	619
PK_15_2h	540	65807	65808	LT934125.1	+	2	65807	724.112962	2h	PK_15	619
PC_12_4h	540	65809	65809	LT934125.1	+	1	65809	100.38145	4h	PC_12	619
C6_12h	541	66209	66209	LT934125.1	+	1	66209	27.97418	12h	C6	620
PC_12_4h	541	66209	66209	LT934125.1	+	1	66209	100.38145	4h	PC_12	620
C6_12h	542	66335	66345	LT934125.1	+	11	66338	5063.326549	12h	C6	621
C6_6h	542	66335	66344	LT934125.1	+	10	66338	3794.739113	6h	C6	621
PC_12_12h	542	66335	66345	LT934125.1	+	11	66338	2900.885281	12h	PC_12	621
PC_12_4h	542	66335	66347	LT934125.1	+	13	66338	2308.77334	4h	PC_12	621
PC_12_6h	542	66335	66344	LT934125.1	+	10	66338	2291.9887	6h	PC_12	621
PC_12_8h	542	66335	66345	LT934125.1	+	11	66338	3323.092358	8h	PC_12	621
PK_15_12h	542	66335	66341	LT934125.1	+	7	66338	4659.038902	12h	PK_15	621
PK_15_4h	542	66335	66345	LT934125.1	+	11	66338	1461.394822	4h	PK_15	621
PK_15_6h	542	66335	66344	LT934125.1	+	10	66338	2000.016129	6h	PK_15	621
PK_15_8h	542	66335	66345	LT934125.1	+	11	66338	4245.632657	8h	PK_15	621
C6_8h	542	66337	66359	LT934125.1	+	23	66338	1969.330105	8h	C6	621
C6_2h	542	66338	66345	LT934125.1	+	8	66338	3516.998828	2h	C6	621
C6_4h	542	66338	66338	LT934125.1	+	1	66338	2101.944298	4h	C6	621
NRK_1h	542	66338	66338	LT934125.1	+	1	66338	10101.010101	1h	NRK	621
NRK_2h	542	66338	66338	LT934125.1	+	1	66338	3236.245955	2h	NRK	621
PC_12_2h	542	66338	66338	LT934125.1	+	1	66338	2001.334223	2h	PC_12	621
PK_15_1h	542	66338	66338	LT934125.1	+	1	66338	2923.976608	1h	PK_15	621
PK_15_2h	542	66338	66344	LT934125.1	+	7	66338	2172.338885	2h	PK_15	621
C6_2h	543	66474	66474	LT934125.1	+	1	66474	1172.332943	2h	C6	622
PC_12_6h	544	66563	66585	LT934125.1	+	23	66563	53.302062	6h	PC_12	623
C6_12h	544	66578	66578	LT934125.1	+	1	66578	27.97418	12h	C6	623
C6_6h	544	66579	66579	LT934125.1	+	1	66579	86.244071	6h	C6	623
C6_8h	545	66641	66641	LT934125.1	+	1	66641	32.2841	8h	C6	624
PC_12_6h	546	66749	66750	LT934125.1	+	2	66749	53.302062	6h	PC_12	625
C6_6h	547	66786	66786	LT934125.1	+	1	66786	86.244071	6h	C6	626
PK_15_12h	547	66786	66786	LT934125.1	+	1	66786	11.441648	12h	PK_15	626
PC_12_8h	548	66884	66884	LT934125.1	+	1	66884	31.349928	8h	PC_12	627
PK_15_8h	549	66913	66913	LT934125.1	+	1	66913	13.157952	8h	PK_15	628
C6_4h	549	66932	66932	LT934125.1	+	1	66932	525.486075	4h	C6	629
PC_12_8h	550	67013	67055	LT934125.1	+	43	67013	94.049784	8h	PC_12	630
C6_6h	550	67025	67025	LT934125.1	+	1	67025	86.244071	6h	C6	630
PC_12_2.5h	551	67112	67112	LT934125.1	+	1	67112	740.19245	2.5h	PC_12	631
PK_15_8h	551	67112	67112	LT934125.1	+	1	67112	17.543937	8h	PK_15	631
PK_15_6h	552	67169	67169	LT934125.1	+	1	67169	16.129162	6h	PK_15	632
C6_8h	553	67234	67234	LT934125.1	+	1	67234	32.2841	8h	C6	633
PC_12_6h	554	67278	67292	LT934125.1	+	15	67278	53.302062	6h	PC_12	634
PK_15_8h	555	67325	67325	LT934125.1	+	1	67325	13.157952	8h	PK_15	635
C6_4h	555	67332	67332	LT934125.1	+	1	67332	525.486075	4h	C6	636
PC_12_8h	556	67417	67417	LT934125.1	+	1	67417	31.349928	8h	PC_12	637
PC_12_6h	557	67446	67446	LT934125.1	+	1	67446	26.651031	6h	PC_12	638
PC_12_4h	557	67449	67449	LT934125.1	+	1	67449	100.38145	4h	PC_12	639
PK_15_1h	557	67463	67463	LT934125.1	+	1	67463	2923.976608	1h	PK_15	640
PC_12_2h	558	67511	67511	LT934125.1	+	1	67511	667.111408	2h	PC_12	641
PC_12_6h	559	67550	67550	LT934125.1	+	1	67550	26.651031	6h	PC_12	642
C6_6h	560	67581	67604	LT934125.1	+	24	67581	172.488142	6h	C6	643
C6_4h	561	67706	67706	LT934125.1	+	1	67706	525.486075	4h	C6	644
PC_12_2h	562	67731	67731	LT934125.1	+	1	67731	667.111408	2h	PC_12	645
PK_15_4h	562	67731	67733	LT934125.1	+	3	67731	81.188602	4h	PK_15	645
PC_12_8h	562	67740	67744	LT934125.1	+	5	67740	62.699856	8h	PC_12	646
PC_12_4h	562	67755	67763	LT934125.1	+	9	67755	200.7629	4h	PC_12	647
C6_6h	562	67775	67775	LT934125.1	+	1	67775	86.244071	6h	C6	648
C6_8h	562	67775	67775	LT934125.1	+	1	67775	32.2841	8h	C6	648
PK_15_4h	563	67838	67856	LT934125.1	+	19	67838	81.188602	4h	PK_15	649
PK_15_12h	563	67856	67856	LT934125.1	+	1	67856	11.441648	12h	PK_15	649
C6_12h	565	67961	67961	LT934125.1	+	1	67961	27.97418	12h	C6	650
C6_8h	565	67961	67968	LT934125.1	+	8	67961	129.1364	8h	C6	650
PC_12_6h	565	67961	67964	LT934125.1	+	4	67961	79.953094	6h	PC_12	650
PK_15_4h	565	67961	67961	LT934125.1	+	1	67961	40.594301	4h	PK_15	650
PK_15_8h	565	67961	67961	LT934125.1	+	1	67961	13.157952	8h	PK_15	650
C6_6h	565	67964	67964	LT934125.1	+	1	67964	86.244071	6h	C6	650
PK_15_12h	566	67968	67991	LT934125.1	+	24	67991	27.459955	12h	PK_15	650
C6_4h	567	68055	68055	LT934125.1	+	1	68055	525.486075	4h	C6	651
PC_12_4h	567	68062	68062	LT934125.1	+	1	68062	100.38145	4h	PC_12	652
PK_15_4h	568	68097	68124	LT934125.1	+	28	68097	81.188602	4h	PK_15	653
C6_12h	568	68098	68098	LT934125.1	+	1	68098	20.980635	12h	C6	653
PK_15_12h	568	68098	68098	LT934125.1	+	1	68098	11.441648	12h	PK_15	653
C6_2h	568	68121	68121	LT934125.1	+	1	68121	1172.332943	2h	C6	653
PC_12_8h	570	68141	68198	LT934125.1	+	58	68183	188.099568	8h	PC_12	654
C6_6h	569	68147	68147	LT934125.1	+	1	68147	86.244071	6h	C6	654
C6_8h	570	68195	68195	LT934125.1	+	1	68195	32.2841	8h	C6	654
PK_15_12h	571	68229	68229	LT934125.1	+	1	68229	13.729977	12h	PK_15	655
PC_12_8h	572	68298	68298	LT934125.1	+	1	68298	31.349928	8h	PC_12	656
PK_15_8h	573	68331	68331	LT934125.1	+	1	68331	13.157952	8h	PK_15	657
PK_15_12h	574	68333	68378	LT934125.1	+	46	68378	93.821511	12h	PK_15	658
PC_12_4h	574	68364	68372	LT934125.1	+	9	68364	200.7629	4h	PC_12	658
PK_15_4h	574	68364	68378	LT934125.1	+	15	68364	81.188602	4h	PK_15	658
PC_12_6h	574	68366	68377	LT934125.1	+	12	68366	79.953094	6h	PC_12	658
PK_15_6h	574	68366	68372	LT934125.1	+	7	68366	48.387487	6h	PK_15	658
C6_12h	574	68367	68372	LT934125.1	+	6	68372	48.954815	12h	C6	658
PC_12_1.5h	574	68372	68372	LT934125.1	+	1	68372	2212.389381	1.5h	PC_12	658
PC_12_1h	574	68399	68399	LT934125.1	+	1	68399	2227.171492	1h	PC_12	659
C6_6h	574	68408	68437	LT934125.1	+	30	68408	172.488142	6h	C6	660
C6_8h	575	68468	68468	LT934125.1	+	1	68468	32.2841	8h	C6	661
PC_12_8h	575	68468	68468	LT934125.1	+	1	68468	31.349928	8h	PC_12	661
PK_15_8h	575	68468	68486	LT934125.1	+	19	68468	35.087874	8h	PK_15	661
C6_12h	575	68492	68492	LT934125.1	+	1	68492	27.97418	12h	C6	662
PK_15_2h	575	68499	68499	LT934125.1	+	1	68499	362.056481	2h	PK_15	663
PK_15_6h	575	68504	68504	LT934125.1	+	1	68504	32.258325	6h	PK_15	664
C6_4h	576	68565	68565	LT934125.1	+	1	68565	525.486075	4h	C6	665
PK_15_8h	577	68565	68600	LT934125.1	+	36	68600	57.017794	8h	PK_15	665
PK_15_4h	576	68566	68566	LT934125.1	+	1	68566	40.594301	4h	PK_15	665
PC_12_12h	577	68600	68600	LT934125.1	+	1	68600	27.30245	12h	PC_12	665
C6_6h	577	68622	68622	LT934125.1	+	1	68622	86.244071	6h	C6	666
PK_15_12h	578	68636	68667	LT934125.1	+	32	68667	68.649886	12h	PK_15	667
PC_12_4h	577	68642	68667	LT934125.1	+	26	68642	200.7629	4h	PC_12	667
C6_12h	578	68667	68692	LT934125.1	+	26	68667	97.90963	12h	C6	667
PK_15_6h	578	68667	68667	LT934125.1	+	1	68667	32.258325	6h	PK_15	667
PK_15_2h	579	68756	68768	LT934125.1	+	13	68756	724.112962	2h	PK_15	668
C6_1h	580	68787	68787	LT934125.1	+	1	68787	1540.832049	1h	C6	669
PK_15_6h	581	68845	68875	LT934125.1	+	31	68873	177.420785	6h	PK_15	670
PC_12_4h	581	68846	68846	LT934125.1	+	1	68846	100.38145	4h	PC_12	670
C6_6h	581	68858	68858	LT934125.1	+	1	68858	86.244071	6h	C6	670
PK_15_12h	581	68861	68879	LT934125.1	+	19	68873	121.281465	12h	PK_15	670
PK_15_8h	581	68870	68873	LT934125.1	+	4	68873	57.017793	8h	PK_15	670
C6_12h	581	68873	68873	LT934125.1	+	1	68873	55.94836	12h	C6	670
PC_12_12h	581	68873	68879	LT934125.1	+	7	68873	40.953674	12h	PC_12	670
PK_15_4h	581	68873	68875	LT934125.1	+	3	68873	121.782902	4h	PK_15	670
C6_8h	582	68936	68936	LT934125.1	+	1	68936	32.2841	8h	C6	671
PC_12_4h	583	68969	68969	LT934125.1	+	1	68969	100.38145	4h	PC_12	672
C6_6h	584	69032	69032	LT934125.1	+	1	69032	86.244071	6h	C6	673
PK_15_4h	584	69047	69096	LT934125.1	+	50	69053	284.160106	4h	PK_15	674
PC_12_4h	585	69091	69096	LT934125.1	+	6	69091	301.14435	4h	PC_12	674
PC_12_1h	586	69185	69185	LT934125.1	+	1	69185	2227.171492	1h	PC_12	675
PC_12_8h	587	69233	69244	LT934125.1	+	12	69237	470.248918	8h	PC_12	676
PK_15_12h	587	69233	69251	LT934125.1	+	19	69244	1311.212817	12h	PK_15	676
PK_15_6h	587	69233	69249	LT934125.1	+	17	69237	1322.59131	6h	PK_15	676
PK_15_8h	587	69233	69251	LT934125.1	+	19	69244	1039.478242	8h	PK_15	676
PC_12_6h	587	69235	69247	LT934125.1	+	13	69244	852.833003	6h	PC_12	676
PK_15_4h	587	69235	69247	LT934125.1	+	13	69244	1339.61192	4h	PK_15	676
C6_12h	587	69237	69249	LT934125.1	+	13	69244	1035.044654	12h	C6	676
C6_6h	587	69237	69247	LT934125.1	+	11	69237	431.220353	6h	C6	676
C6_8h	587	69237	69252	LT934125.1	+	16	69244	484.261501	8h	C6	676
PC_12_12h	587	69237	69247	LT934125.1	+	11	69244	1221.784625	12h	PC_12	676
PC_12_4h	587	69237	69251	LT934125.1	+	15	69237	903.433048	4h	PC_12	676
C6_4h	587	69244	69244	LT934125.1	+	1	69244	525.486075	4h	C6	676
C6_2h	588	69311	69311	LT934125.1	+	1	69311	1172.332943	2h	C6	677
PK_15_1h	589	69340	69340	LT934125.1	+	1	69340	2923.976608	1h	PK_15	678
PC_12_8h	590	69414	69418	LT934125.1	+	5	69418	94.049784	8h	PC_12	679
PK_15_6h	590	69418	69421	LT934125.1	+	4	69421	40.322905	6h	PK_15	679
C6_1h	590	69421	69421	LT934125.1	+	1	69421	1540.832049	1h	C6	679
PK_15_8h	590	69421	69421	LT934125.1	+	1	69421	13.157952	8h	PK_15	679
PC_12_4h	590	69433	69433	LT934125.1	+	1	69433	100.38145	4h	PC_12	680
C6_6h	591	69475	69475	LT934125.1	+	1	69475	86.244071	6h	C6	681
PK_15_12h	593	69485	69567	LT934125.1	+	83	69530	173.913044	12h	PK_15	682
PK_15_6h	593	69501	69567	LT934125.1	+	67	69530	96.774972	6h	PK_15	682
PK_15_4h	592	69503	69535	LT934125.1	+	33	69503	202.971503	4h	PK_15	682
PK_15_8h	593	69509	69567	LT934125.1	+	59	69530	100.877635	8h	PK_15	682
PK_15_2h	593	69530	69530	LT934125.1	+	1	69530	362.056481	2h	PK_15	682
C6_8h	593	69535	69535	LT934125.1	+	1	69535	32.2841	8h	C6	682
C6_12h	593	69552	69567	LT934125.1	+	16	69552	125.88381	12h	C6	682
PC_12_12h	593	69567	69567	LT934125.1	+	1	69567	27.30245	12h	PC_12	682
PC_12_2.5h	594	69665	69665	LT934125.1	+	1	69665	740.19245	2.5h	PC_12	683
PC_12_4h	594	69673	69673	LT934125.1	+	1	69673	100.38145	4h	PC_12	684
PC_12_2h	594	69696	69696	LT934125.1	+	1	69696	667.111408	2h	PC_12	685
PK_15_12h	596	69717	69845	LT934125.1	+	129	69765	233.409614	12h	PK_15	686
PK_15_2h	595	69734	69734	LT934125.1	+	1	69734	362.056481	2h	PK_15	686
PK_15_4h	596	69737	69795	LT934125.1	+	59	69765	730.697412	4h	PK_15	686
C6_8h	596	69748	69785	LT934125.1	+	38	69765	322.841	8h	C6	686
C6_12h	596	69755	69821	LT934125.1	+	67	69765	377.651429	12h	C6	686
PC_12_12h	596	69755	69821	LT934125.1	+	67	69765	238.896435	12h	PC_12	686
NRK_2h	596	69762	69765	LT934125.1	+	4	69762	6472.49191	2h	NRK	686
PC_12_6h	596	69764	69834	LT934125.1	+	71	69765	879.484033	6h	PC_12	686
C6_2h	596	69765	69765	LT934125.1	+	1	69765	2344.665885	2h	C6	686
C6_6h	596	69765	69785	LT934125.1	+	21	69765	431.220353	6h	C6	686
PC_12_8h	596	69765	69812	LT934125.1	+	48	69765	501.598847	8h	PC_12	686
PK_15_1h	596	69765	69765	LT934125.1	+	1	69765	2923.976608	1h	PK_15	686
PK_15_6h	596	69765	69834	LT934125.1	+	70	69765	346.776989	6h	PK_15	686
PK_15_8h	596	69765	69845	LT934125.1	+	81	69765	346.492748	8h	PK_15	686
PC_12_2.5h	596	69766	69766	LT934125.1	+	1	69766	740.19245	2.5h	PC_12	686
C6_4h	596	69785	69785	LT934125.1	+	1	69785	525.486075	4h	C6	686
PC_12_4h	597	69812	69839	LT934125.1	+	28	69812	200.7629	4h	PC_12	686
PK_15_12h	599	69875	69981	LT934125.1	+	107	69947	311.212816	12h	PK_15	687
PK_15_8h	599	69875	69970	LT934125.1	+	96	69947	175.439366	8h	PK_15	687
C6_6h	598	69889	69889	LT934125.1	+	1	69889	86.244071	6h	C6	687
PK_15_4h	599	69927	69964	LT934125.1	+	38	69927	202.971505	4h	PK_15	687
PC_12_4h	599	69944	69970	LT934125.1	+	27	69944	301.14435	4h	PC_12	687
PK_15_4h	602	70001	70090	LT934125.1	+	90	70090	1583.177724	4h	PK_15	688
PC_12_12h	602	70012	70090	LT934125.1	+	79	70090	689.386855	12h	PC_12	688
PC_12_8h	602	70012	70180	LT934125.1	+	169	70090	1253.997118	8h	PC_12	688
PK_15_12h	602	70012	70090	LT934125.1	+	79	70090	636.155606	12h	PK_15	688
PC_12_2.5h	600	70031	70031	LT934125.1	+	1	70031	740.19245	2.5h	PC_12	688
C6_2h	601	70057	70057	LT934125.1	+	1	70057	1172.332943	2h	C6	688
PC_12_4h	602	70057	70090	LT934125.1	+	34	70090	903.433047	4h	PC_12	688
PC_12_6h	602	70057	70152	LT934125.1	+	96	70090	959.437127	6h	PC_12	688
C6_12h	602	70090	70091	LT934125.1	+	2	70090	629.419046	12h	C6	688
C6_4h	602	70090	70090	LT934125.1	+	1	70090	525.486075	4h	C6	688
C6_6h	602	70090	70090	LT934125.1	+	1	70090	1121.172919	6h	C6	688
C6_8h	602	70090	70095	LT934125.1	+	6	70090	742.534302	8h	C6	688
PK_15_6h	602	70090	70090	LT934125.1	+	1	70090	733.876886	6h	PK_15	688
PK_15_8h	602	70090	70092	LT934125.1	+	3	70090	535.090066	8h	PK_15	688
PK_15_2h	602	70091	70091	LT934125.1	+	1	70091	362.056481	2h	PK_15	688
PK_15_1h	602	70093	70093	LT934125.1	+	1	70093	2923.976608	1h	PK_15	688
PC_12_2h	603	70126	70126	LT934125.1	+	1	70126	667.111408	2h	PC_12	688
PC_12_8h	605	70225	70407	LT934125.1	+	183	70311	470.24892	8h	PC_12	689
C6_6h	604	70232	70232	LT934125.1	+	1	70232	86.244071	6h	C6	689
PK_15_2h	604	70232	70232	LT934125.1	+	1	70232	362.056481	2h	PK_15	689
PC_12_12h	605	70284	70336	LT934125.1	+	53	70311	163.814698	12h	PC_12	689
PK_15_12h	605	70289	70311	LT934125.1	+	23	70311	98.398169	12h	PK_15	689
PK_15_6h	605	70289	70336	LT934125.1	+	48	70311	88.710392	6h	PK_15	689
C6_12h	605	70311	70324	LT934125.1	+	14	70311	90.916085	12h	C6	689
C6_8h	605	70311	70364	LT934125.1	+	54	70311	258.2728	8h	C6	689
PC_12_6h	605	70311	70352	LT934125.1	+	42	70311	239.859281	6h	PC_12	689
PK_15_8h	605	70311	70311	LT934125.1	+	1	70311	57.017794	8h	PK_15	689
PC_12_4h	605	70331	70336	LT934125.1	+	6	70331	200.7629	4h	PC_12	689
C6_6h	605	70336	70369	LT934125.1	+	34	70336	258.732213	6h	C6	689
C6_4h	606	70364	70364	LT934125.1	+	1	70364	525.486075	4h	C6	689
C6_12h	607	70525	70534	LT934125.1	+	10	70531	55353.908343	12h	C6	690
C6_6h	607	70525	70534	LT934125.1	+	10	70531	31824.062096	6h	C6	690
C6_8h	607	70525	70531	LT934125.1	+	7	70531	35351.089588	8h	C6	690
PC_12_12h	607	70525	70531	LT934125.1	+	7	70531	34872.053894	12h	PC_12	690
PC_12_2.5h	607	70525	70532	LT934125.1	+	8	70531	22945.965951	2.5h	PC_12	690
PC_12_4h	607	70525	70534	LT934125.1	+	10	70531	33427.022687	4h	PC_12	690
PC_12_6h	607	70525	70531	LT934125.1	+	7	70531	34646.340814	6h	PC_12	690
PC_12_8h	607	70525	70534	LT934125.1	+	10	70531	26898.238135	8h	PC_12	690
PK_15_12h	607	70525	70534	LT934125.1	+	10	70531	37659.038901	12h	PK_15	690
PK_15_4h	607	70525	70534	LT934125.1	+	10	70531	26264.512462	4h	PK_15	690
PK_15_6h	607	70525	70534	LT934125.1	+	10	70531	27242.155179	6h	PK_15	690
PK_15_8h	607	70525	70534	LT934125.1	+	10	70531	26627.30977	8h	PK_15	690
C6_2h	607	70528	70535	LT934125.1	+	8	70531	39859.320047	2h	C6	690
C6_1h	607	70529	70534	LT934125.1	+	6	70531	24653.312788	1h	C6	690
C6_4h	607	70529	70535	LT934125.1	+	7	70529	37309.511299	4h	C6	690
NRK_1h	607	70529	70531	LT934125.1	+	3	70529	20202.020202	1h	NRK	690
NRK_2h	607	70529	70547	LT934125.1	+	19	70529	22653.721683	2h	NRK	690
PC_12_0.5h	607	70529	70529	LT934125.1	+	1	70529	32258.064516	0.5h	PC_12	690
PC_12_1.5h	607	70529	70534	LT934125.1	+	6	70531	24336.283186	1.5h	PC_12	690
PC_12_1h	607	70529	70531	LT934125.1	+	3	70529	15590.200446	1h	PC_12	690
PC_12_2h	607	70529	70531	LT934125.1	+	3	70531	22014.676451	2h	PC_12	690
PK_15_2h	607	70529	70534	LT934125.1	+	6	70531	14844.315714	2h	PK_15	690
PC_12_8h	608	70633	70819	LT934125.1	+	187	70633	626.99856	8h	PC_12	691
C6_12h	609	70767	70828	LT934125.1	+	62	70767	181.83217	12h	C6	691
PK_15_4h	609	70774	70774	LT934125.1	+	1	70774	81.188601	4h	PK_15	691
C6_6h	609	70780	70780	LT934125.1	+	1	70780	86.244071	6h	C6	691
C6_8h	609	70802	70828	LT934125.1	+	27	70802	129.1364	8h	C6	691
PC_12_4h	609	70802	70802	LT934125.1	+	1	70802	100.38145	4h	PC_12	691
C6_4h	609	70810	70810	LT934125.1	+	1	70810	525.486075	4h	C6	691
PK_15_6h	609	70813	70813	LT934125.1	+	1	70813	24.193743	6h	PK_15	691
PC_12_12h	610	70828	70883	LT934125.1	+	56	70850	136.512248	12h	PC_12	691
C6_12h	610	70873	70873	LT934125.1	+	1	70873	41.96127	12h	C6	691
C6_2h	611	70905	70905	LT934125.1	+	1	70905	1172.332943	2h	C6	692
PC_12_2.5h	611	70909	70909	LT934125.1	+	1	70909	740.19245	2.5h	PC_12	693
PK_15_12h	611	70909	70918	LT934125.1	+	10	70918	48.05492	12h	PK_15	693
PK_15_6h	611	70918	70918	LT934125.1	+	1	70918	32.258325	6h	PK_15	693
PK_15_8h	611	70918	70918	LT934125.1	+	1	70918	30.701889	8h	PK_15	693
C6_8h	613	70952	71194	LT934125.1	+	243	71035	1097.6594	8h	C6	694
C6_6h	612	70963	70963	LT934125.1	+	1	70963	86.244071	6h	C6	694
PK_15_2h	612	70978	70994	LT934125.1	+	17	70978	724.112962	2h	PK_15	694
PC_12_6h	614	70994	71081	LT934125.1	+	88	71081	239.85928	6h	PC_12	694
PC_12_12h	613	71006	71035	LT934125.1	+	30	71009	156.989086	12h	PC_12	694
PK_15_8h	613	71009	71022	LT934125.1	+	14	71022	43.859842	8h	PK_15	694
C6_12h	613	71022	71067	LT934125.1	+	46	71022	125.88381	12h	C6	694
PC_12_4h	614	71065	71065	LT934125.1	+	1	71065	100.38145	4h	PC_12	694
PC_12_8h	614	71065	71154	LT934125.1	+	90	71065	376.199136	8h	PC_12	694
C6_4h	614	71067	71067	LT934125.1	+	1	71067	525.486075	4h	C6	694
PC_12_12h	615	71110	71149	LT934125.1	+	40	71122	150.163474	12h	PC_12	694
PK_15_2h	615	71120	71124	LT934125.1	+	5	71120	724.112962	2h	PK_15	694
PC_12_2.5h	616	71149	71149	LT934125.1	+	1	71149	740.19245	2.5h	PC_12	694
C6_2h	616	71165	71194	LT934125.1	+	30	71165	3516.998828	2h	C6	694
PK_15_12h	616	71170	71194	LT934125.1	+	25	71185	75.514875	12h	PK_15	694
PK_15_6h	616	71176	71190	LT934125.1	+	15	71185	112.904136	6h	PK_15	694
C6_12h	616	71179	71278	LT934125.1	+	100	71185	573.470688	12h	C6	694
PC_12_12h	617	71185	71254	LT934125.1	+	70	71246	232.070822	12h	PC_12	694
PK_15_8h	616	71185	71215	LT934125.1	+	31	71185	74.561729	8h	PK_15	694
C6_6h	617	71224	71224	LT934125.1	+	1	71224	172.488141	6h	C6	694
PC_12_6h	617	71224	71249	LT934125.1	+	26	71224	106.604125	6h	PC_12	694
PK_15_4h	617	71224	71246	LT934125.1	+	23	71224	121.782903	4h	PK_15	694
PK_15_2h	617	71246	71246	LT934125.1	+	1	71246	362.056481	2h	PK_15	694
PC_12_8h	618	71308	71357	LT934125.1	+	50	71319	313.49928	8h	PC_12	695
C6_12h	618	71314	71350	LT934125.1	+	37	71328	160.851535	12h	C6	695
PK_15_8h	618	71328	71346	LT934125.1	+	19	71328	43.859841	8h	PK_15	695
C6_6h	619	71380	71380	LT934125.1	+	1	71380	86.244071	6h	C6	696
PC_12_2h	620	71538	71538	LT934125.1	+	1	71538	667.111408	2h	PC_12	697
C6_12h	621	71767	71767	LT934125.1	+	1	71767	20.980635	12h	C6	698
C6_8h	621	71767	71767	LT934125.1	+	1	71767	32.2841	8h	C6	698
PC_12_6h	621	71767	71767	LT934125.1	+	1	71767	26.651031	6h	PC_12	698
PK_15_6h	621	71767	71767	LT934125.1	+	1	71767	24.193743	6h	PK_15	698
PK_15_8h	621	71767	71767	LT934125.1	+	1	71767	13.157952	8h	PK_15	698
PK_15_4h	622	71796	71796	LT934125.1	+	1	71796	40.594301	4h	PK_15	699
PC_12_12h	623	71902	71902	LT934125.1	+	1	71902	20.476837	12h	PC_12	700
C6_6h	623	71905	71905	LT934125.1	+	1	71905	86.244071	6h	C6	701
PK_15_8h	623	71905	71905	LT934125.1	+	1	71905	13.157952	8h	PK_15	701
PC_12_6h	624	71941	71960	LT934125.1	+	20	71941	53.302062	6h	PC_12	702
PC_12_8h	625	72040	72040	LT934125.1	+	1	72040	31.349928	8h	PC_12	703
PC_12_8h	626	72173	72173	LT934125.1	+	1	72173	31.349928	8h	PC_12	704
C6_6h	627	72329	72329	LT934125.1	+	1	72329	86.244071	6h	C6	705
PK_15_4h	628	72471	72471	LT934125.1	+	1	72471	40.594301	4h	PK_15	706
PC_12_4h	629	72505	72527	LT934125.1	+	23	72505	200.7629	4h	PC_12	707
PC_12_8h	630	72618	72618	LT934125.1	+	1	72618	31.349928	8h	PC_12	708
C6_8h	631	72649	72649	LT934125.1	+	1	72649	32.2841	8h	C6	709
PC_12_6h	631	72649	72649	LT934125.1	+	1	72649	26.651031	6h	PC_12	709
C6_12h	632	72758	72763	LT934125.1	+	6	72759	1042.038199	12h	C6	710
C6_6h	632	72758	72763	LT934125.1	+	6	72759	517.464425	6h	C6	710
C6_8h	632	72758	72788	LT934125.1	+	31	72759	581.113801	8h	C6	710
PC_12_12h	632	72758	72763	LT934125.1	+	6	72759	491.444095	12h	PC_12	710
PC_12_8h	632	72758	72763	LT934125.1	+	6	72759	532.948775	8h	PC_12	710
PK_15_12h	632	72758	72763	LT934125.1	+	6	72759	411.899313	12h	PK_15	710
PK_15_4h	632	72758	72788	LT934125.1	+	31	72759	284.160105	4h	PK_15	710
PK_15_6h	632	72758	72763	LT934125.1	+	6	72759	459.681127	6h	PK_15	710
PK_15_8h	632	72758	72766	LT934125.1	+	9	72759	618.423765	8h	PK_15	710
C6_4h	632	72759	72759	LT934125.1	+	1	72759	1050.972149	4h	C6	710
PC_12_4h	632	72759	72760	LT934125.1	+	2	72759	401.525799	4h	PC_12	710
PC_12_6h	632	72759	72791	LT934125.1	+	33	72759	666.275784	6h	PC_12	710
C6_8h	633	72899	72899	LT934125.1	+	1	72899	32.2841	8h	C6	711
PC_12_4h	634	72957	72957	LT934125.1	+	1	72957	100.38145	4h	PC_12	712
PC_12_8h	635	72990	72990	LT934125.1	+	1	72990	31.349928	8h	PC_12	713
PC_12_6h	636	73131	73132	LT934125.1	+	2	73131	53.302062	6h	PC_12	714
C6_8h	636	73132	73132	LT934125.1	+	1	73132	32.2841	8h	C6	714
PC_12_8h	636	73140	73140	LT934125.1	+	1	73140	31.349928	8h	PC_12	715
PK_15_4h	637	73321	73321	LT934125.1	+	1	73321	40.594301	4h	PK_15	716
