hpi	cell_line	seqnames	strand	cluster	cluster_start	cluster_end	cluster_peak	cluster_width	cluster_total_count	cluster_ratio	meta_cluster
4h	C6	LT934125.1	+	47	53648	53649	53648	2	10	0.00525486074619023	37
2h	PK-15	LT934125.1	+	55	53648	53684	53648	37	16	0.0057929036929761	37
4h	PC-12	LT934125.1	+	107	54464	54551	54464	88	5	0.000501907247540655	38
8h	PC-12	LT934125.1	+	243	54887	54940	54938	54	18	0.000564298702112985	39
12h	C6	LT934125.1	+	382	55276	55358	55303	83	191	0.00133576708697872	40
12h	PC-12	LT934125.1	+	338	55295	55359	55352	65	117	0.000798596654084788	40
6h	C6	LT934125.1	+	153	55303	55353	55324	51	8	0.000689952565761104	40
8h	PC-12	LT934125.1	+	247	55303	55355	55303	53	19	0.000595648630008151	40
8h	PK-15	LT934125.1	+	340	55303	55358	55352	56	170	0.000745617305339059	40
4h	PK-15	LT934125.1	+	144	55352	55358	55352	7	17	0.000690103109523423	40
12h	PC-12	LT934125.1	+	342	55702	55791	55712	90	99	0.000675735630379436	41
12h	C6	LT934125.1	+	385	55705	55782	55712	78	116	0.000811251215128437	41
8h	PC-12	LT934125.1	+	250	55705	55782	55712	78	29	0.000909147908959809	41
6h	PK-15	LT934125.1	+	276	59005	59058	59044	54	363	0.0029274429632497	42
8h	PC-12	LT934125.1	+	261	59007	59074	59068	68	285	0.00893472945012227	42
12h	PK-15	LT934125.1	+	370	59007	59055	59044	49	248	0.000567505720823799	42
12h	C6	LT934125.1	+	406	59011	59106	59068	96	825	0.0057696745903531	42
1h	C6	LT934125.1	+	34	59011	59073	59068	63	25	0.0385208012326656	42
8h	PK-15	LT934125.1	+	356	59011	59076	59068	66	1629	0.0071447681788078	42
4h	PK-15	LT934125.1	+	151	59014	59100	59068	87	539	0.0218803280019485	42
6h	PC-12	LT934125.1	+	227	59025	59100	59068	76	358	0.00954106923937956	42
12h	PC-12	LT934125.1	+	361	59032	59124	59068	93	521	0.00355614407502713	42
2h	PC-12	LT934125.1	+	59	59032	59074	59068	43	53	0.0353569046030687	42
4h	PC-12	LT934125.1	+	114	59036	59097	59068	62	90	0.00903433045573178	42
8h	C6	LT934125.1	+	214	59038	59080	59068	43	391	0.0126230831315577	42
6h	C6	LT934125.1	+	161	59039	59100	59068	62	235	0.0202673566192324	42
2h	C6	LT934125.1	+	29	59041	59095	59068	55	64	0.0750293083235639	42
2.5h	PC-12	LT934125.1	+	44	59041	59095	59068	55	59	0.0436713545521836	42
4h	C6	LT934125.1	+	51	59044	59073	59068	30	33	0.0173410404624277	42
2h	NRK	LT934125.1	+	25	59044	59074	59044	31	16	0.0517799352750809	42
1.5h	PC-12	LT934125.1	+	20	59044	59070	59068	27	31	0.0685840707964602	42
1h	PC-12	LT934125.1	+	28	59044	59074	59044	31	20	0.044543429844098	42
2h	PK-15	LT934125.1	+	63	59044	59077	59068	34	59	0.0213613323678494	42
6h	PK-15	LT934125.1	+	277	59064	59141	59068	78	838	0.00675811901708885	42
12h	PK-15	LT934125.1	+	371	59065	59148	59068	84	576	0.00131807780320366	42
1h	NRK	LT934125.1	+	12	59068	59070	59068	3	6	0.0606060606060606	42
12h	C6	LT934125.1	+	418	60182	60262	60234	81	253	0.00176936687437495	43
6h	PC-12	LT934125.1	+	235	60188	60258	60235	71	58	0.00154575982090507	43
4h	PK-15	LT934125.1	+	158	60221	60258	60234	38	20	0.000811886011204027	43
12h	PK-15	LT934125.1	+	382	60224	60265	60234	42	443	0.0010137299771167	43
12h	PC-12	LT934125.1	+	373	60230	60260	60235	31	217	0.0014811578968923	43
8h	PK-15	LT934125.1	+	370	60231	60262	60234	32	382	0.00167544594493836	43
6h	C6	LT934125.1	+	168	60232	60260	60234	29	27	0.00232858990944373	43
4h	PC-12	LT934125.1	+	121	60232	60319	60235	88	23	0.00230877333868701	43
8h	PC-12	LT934125.1	+	272	60232	60260	60234	29	61	0.00191234560160512	43
2h	PK-15	LT934125.1	+	66	60232	60258	60239	27	9	0.00325850832729906	43
6h	PK-15	LT934125.1	+	289	60232	60263	60234	32	149	0.00120162259373059	43
8h	C6	LT934125.1	+	226	60233	60260	60234	28	40	0.00129136400322841	43
6h	PK-15	LT934125.1	+	313	65740	65826	65807	87	72	0.000580649843950354	44
8h	PC-12	LT934125.1	+	295	65749	65830	65807	82	20	0.000626998557903317	44
8h	PK-15	LT934125.1	+	400	65775	65856	65807	82	149	0.00065351163820894	44
4h	PK-15	LT934125.1	+	170	65805	65829	65807	25	18	0.000730697410083624	44
6h	PC-12	LT934125.1	+	251	66264	66344	66338	81	87	0.0023186397313576	45
8h	PK-15	LT934125.1	+	403	66298	66357	66338	60	985	0.00432019438681749	45
12h	PK-15	LT934125.1	+	423	66327	66360	66338	34	2110	0.00482837528604119	45
12h	C6	LT934125.1	+	457	66333	66431	66338	99	747	0.00522417808362881	45
6h	C6	LT934125.1	+	182	66335	66344	66338	10	44	0.00379473911168607	45
12h	PC-12	LT934125.1	+	412	66335	66401	66338	67	432	0.00294866456892845	45
4h	PC-12	LT934125.1	+	134	66335	66347	66338	13	23	0.00230877333868701	45
8h	PC-12	LT934125.1	+	296	66335	66425	66338	91	108	0.00338579221267791	45
4h	PK-15	LT934125.1	+	171	66335	66345	66338	11	36	0.00146139482016725	45
6h	PK-15	LT934125.1	+	315	66335	66425	66338	91	256	0.00206453277849015	45
8h	C6	LT934125.1	+	240	66337	66359	66338	23	61	0.00196933010492333	45
2h	PK-15	LT934125.1	+	74	66338	66344	66338	7	6	0.00217233888486604	45
4h	PK-15	LT934125.1	+	182	69159	69247	69237	89	38	0.00154258342128765	46
4h	PC-12	LT934125.1	+	143	69161	69251	69237	91	11	0.00110419594458944	46
6h	PC-12	LT934125.1	+	267	69191	69247	69244	57	33	0.000879484036032194	46
8h	PK-15	LT934125.1	+	438	69191	69273	69244	83	256	0.00112281194215764	46
6h	C6	LT934125.1	+	194	69198	69247	69237	50	6	0.000517464424320828	46
8h	C6	LT934125.1	+	251	69198	69252	69244	55	17	0.000548829701372074	46
6h	PK-15	LT934125.1	+	336	69212	69249	69237	38	168	0.00135484963588416	46
12h	PC-12	LT934125.1	+	439	69228	69301	69237	74	201	0.0013719480980431	46
12h	PK-15	LT934125.1	+	458	69233	69311	69244	79	628	0.0014370709382151	46
12h	C6	LT934125.1	+	486	69237	69293	69244	57	164	0.00114694137311262	46
4h	PK-15	LT934125.1	+	187	69737	69795	69765	59	18	0.000730697410083624	47
6h	PC-12	LT934125.1	+	272	69764	69834	69765	71	33	0.000879484036032194	47
8h	PC-12	LT934125.1	+	321	69765	69845	69765	81	20	0.000626998557903317	47
6h	C6	LT934125.1	+	198	69994	70090	70090	97	16	0.00137990513152221	48
8h	C6	LT934125.1	+	258	70012	70095	70090	84	28	0.000903954802259887	48
8h	PC-12	LT934125.1	+	323	70012	70110	70090	99	29	0.000909147908959809	48
12h	PK-15	LT934125.1	+	470	70046	70133	70090	88	285	0.000652173913043478	48
4h	PC-12	LT934125.1	+	148	70057	70090	70090	34	9	0.000903433045573178	48
6h	PC-12	LT934125.1	+	275	70057	70152	70090	96	36	0.000959437130216939	48
6h	PK-15	LT934125.1	+	345	70061	70105	70090	45	101	0.000814522697763692	48
12h	C6	LT934125.1	+	497	70075	70144	70090	70	114	0.000797264125212429	48
4h	PK-15	LT934125.1	+	190	70079	70166	70090	88	39	0.00158317772184785	48
12h	PC-12	LT934125.1	+	451	70088	70144	70090	57	95	0.000648433180667135	48
8h	PK-15	LT934125.1	+	450	70089	70167	70090	79	168	0.000736845337040952	48
12h	PK-15	LT934125.1	+	475	70479	70579	70531	101	16709	0.0382356979405034	49
12h	C6	LT934125.1	+	502	70481	70544	70531	64	8002	0.0559623467539461	49
6h	PK-15	LT934125.1	+	350	70484	70571	70531	88	3435	0.0277018363051315	49
8h	C6	LT934125.1	+	261	70490	70576	70531	87	1143	0.0369007263922518	49
12h	PC-12	LT934125.1	+	456	70490	70544	70531	55	5254	0.0358617676971066	49
6h	C6	LT934125.1	+	201	70525	70561	70531	37	374	0.0322552824493316	49
2.5h	PC-12	LT934125.1	+	56	70525	70532	70531	8	31	0.0229459659511473	49
4h	PC-12	LT934125.1	+	151	70525	70624	70531	100	338	0.0339289299337482	49
6h	PC-12	LT934125.1	+	279	70525	70568	70531	44	1342	0.0357656841319759	49
8h	PC-12	LT934125.1	+	328	70525	70567	70531	43	870	0.0272744372687943	49
4h	PK-15	LT934125.1	+	193	70525	70539	70531	15	655	0.0265892668669319	49
8h	PK-15	LT934125.1	+	456	70525	70624	70531	100	6231	0.027329067232751	49
2h	C6	LT934125.1	+	43	70528	70535	70531	8	34	0.0398593200468933	49
1h	C6	LT934125.1	+	40	70529	70534	70531	6	16	0.024653312788906	49
4h	C6	LT934125.1	+	69	70529	70535	70529	7	71	0.0373095112979506	49
2h	NRK	LT934125.1	+	29	70529	70547	70529	19	7	0.0226537216828479	49
1.5h	PC-12	LT934125.1	+	26	70529	70534	70529	6	11	0.0243362831858407	49
1h	PC-12	LT934125.1	+	35	70529	70595	70529	67	8	0.0178173719376392	49
2h	PC-12	LT934125.1	+	72	70529	70561	70529	33	34	0.0226817878585724	49
2h	PK-15	LT934125.1	+	81	70529	70534	70531	6	41	0.0148443157132513	49
8h	C6	LT934125.1	+	265	70952	71043	71043	92	16	0.000516545601291364	50
12h	C6	LT934125.1	+	511	71185	71284	71190	100	110	0.000769289945380414	51
6h	C6	LT934125.1	+	210	72694	72763	72759	70	7	0.000603708495040966	52
6h	PK-15	LT934125.1	+	366	72724	72818	72759	95	64	0.000516133194622537	52
12h	C6	LT934125.1	+	523	72751	72766	72759	16	156	0.00109099301344859	52
12h	PC-12	LT934125.1	+	474	72755	72820	72759	66	77	0.000525572156961783	52
8h	C6	LT934125.1	+	272	72758	72788	72759	31	18	0.000581113801452785	52
8h	PC-12	LT934125.1	+	341	72758	72763	72759	6	17	0.000532948774217819	52
8h	PK-15	LT934125.1	+	471	72758	72791	72759	34	150	0.000657897622357993	52
6h	PC-12	LT934125.1	+	290	72759	72791	72759	33	25	0.000666275784872875	52
4h	C6	LT934125.1	+	74	74335	74406	74402	72	21	0.0110352075669995	53
12h	C6	LT934125.1	+	536	74364	74456	74402	93	2335	0.0163299274769388	53
8h	PK-15	LT934125.1	+	484	74375	74466	74402	92	2637	0.0115658402010535	53
6h	PC-12	LT934125.1	+	295	74377	74411	74402	35	437	0.0116465007195778	53
8h	PC-12	LT934125.1	+	347	74381	74445	74400	65	293	0.00918552887328359	53
6h	PK-15	LT934125.1	+	375	74381	74456	74402	76	2051	0.0165404559714191	53
6h	C6	LT934125.1	+	212	74396	74448	74400	53	203	0.017507546356188	53
12h	PK-15	LT934125.1	+	508	74396	74477	74402	82	6550	0.0149885583524027	53
8h	C6	LT934125.1	+	280	74397	74435	74400	39	568	0.0183373688458434	53
12h	PC-12	LT934125.1	+	484	74397	74461	74402	65	1269	0.00866170217122731	53
4h	PK-15	LT934125.1	+	206	74397	74471	74400	75	611	0.024803117642283	53
1h	C6	LT934125.1	+	42	74400	74403	74402	4	6	0.00924499229583975	53
2h	C6	LT934125.1	+	46	74400	74403	74400	4	15	0.0175849941383353	53
1.5h	PC-12	LT934125.1	+	27	74400	74402	74400	3	6	0.0132743362831858	53
1h	PC-12	LT934125.1	+	36	74400	74403	74400	4	6	0.0133630289532294	53
2.5h	PC-12	LT934125.1	+	59	74400	74408	74400	9	13	0.00962250185048113	53
2h	PC-12	LT934125.1	+	75	74400	74402	74400	3	7	0.00466977985323549	53
4h	PC-12	LT934125.1	+	161	74400	74431	74402	32	146	0.0146556916281871	53
2h	PK-15	LT934125.1	+	87	74400	74405	74402	6	19	0.00687907313540912	53
6h	C6	LT934125.1	+	220	76674	76688	76683	15	22	0.00189736955584304	54
8h	PK-15	LT934125.1	+	500	76675	76772	76683	98	160	0.000701757463848526	54
12h	C6	LT934125.1	+	555	76677	76749	76683	73	222	0.00155256698067684	54
8h	C6	LT934125.1	+	291	76677	76692	76683	16	42	0.00135593220338983	54
6h	PC-12	LT934125.1	+	304	76677	76687	76683	11	30	0.00079953094184745	54
6h	PK-15	LT934125.1	+	391	76677	76757	76683	81	106	0.000854845603593577	54
4h	PK-15	LT934125.1	+	215	76682	76685	76683	4	24	0.000974263213444832	54
2h	PC-12	LT934125.1	+	76	76683	76685	76683	3	5	0.00333555703802535	54
4h	PC-12	LT934125.1	+	166	76683	76748	76683	66	10	0.00100381449508131	54
6h	C6	LT934125.1	+	222	76990	77058	76990	69	8	0.000689952565761104	55
4h	PK-15	LT934125.1	+	217	77987	78062	78040	76	34	0.00138020621904685	56
12h	C6	LT934125.1	+	563	78002	78065	78044	64	355	0.00248270846009134	56
8h	C6	LT934125.1	+	296	78018	78062	78044	45	103	0.00332526230831316	56
6h	C6	LT934125.1	+	226	78035	78099	78044	65	69	0.00595084087968952	56
2h	PC-12	LT934125.1	+	79	78035	78078	78035	44	6	0.00400266844563042	56
6h	PC-12	LT934125.1	+	309	78035	78092	78044	58	32	0.00085283300463728	56
8h	PC-12	LT934125.1	+	365	78035	78062	78044	28	23	0.000721048341588814	56
6h	PK-15	LT934125.1	+	399	78035	78127	78044	93	77	0.00062097274978024	56
8h	PK-15	LT934125.1	+	509	78035	78062	78044	28	122	0.000535090066184501	56
4h	PC-12	LT934125.1	+	170	78037	78062	78037	26	8	0.000803051596065047	56
4h	C6	LT934125.1	+	75	78040	78062	78040	23	7	0.00367840252233316	56
2h	PC-12	LT934125.1	+	81	79397	79465	79444	69	35	0.0233488992661775	57
4h	PC-12	LT934125.1	+	176	79398	79461	79444	64	87	0.00873318610720739	57
2.5h	PC-12	LT934125.1	+	63	79401	79461	79444	61	42	0.0310880829015544	57
4h	PK-15	LT934125.1	+	224	79401	79478	79444	78	684	0.0277665015831777	57
12h	C6	LT934125.1	+	578	79413	79456	79444	44	3003	0.0210016155088853	57
1h	C6	LT934125.1	+	46	79418	79444	79440	27	7	0.0107858243451464	57
6h	PK-15	LT934125.1	+	411	79425	79482	79444	58	2370	0.0191130573633658	57
8h	C6	LT934125.1	+	307	79428	79492	79444	65	905	0.0292171105730428	57
12h	PC-12	LT934125.1	+	526	79432	79500	79444	69	2572	0.0175554751650092	57
1h	PC-12	LT934125.1	+	38	79432	79444	79444	13	12	0.0267260579064588	57
8h	PC-12	LT934125.1	+	376	79432	79500	79444	69	680	0.0213179509687128	57
6h	C6	LT934125.1	+	233	79437	79517	79444	81	229	0.0197498921949116	57
6h	PC-12	LT934125.1	+	320	79437	79481	79444	45	329	0.00876818932892703	57
12h	PK-15	LT934125.1	+	549	79437	79507	79444	71	7805	0.0178604118993135	57
2h	PK-15	LT934125.1	+	93	79437	79527	79444	91	47	0.0170166545981173	57
8h	PK-15	LT934125.1	+	524	79437	79494	79444	58	5467	0.0239781753428743	57
2h	C6	LT934125.1	+	51	79439	79454	79444	16	19	0.022274325908558	57
4h	C6	LT934125.1	+	76	79440	79447	79444	8	24	0.0126116657908565	57
2h	NRK	LT934125.1	+	33	79440	79445	79444	6	9	0.029126213592233	57
1.5h	PC-12	LT934125.1	+	30	79440	79454	79444	15	16	0.0353982300884956	57
1h	PK-15	LT934125.1	+	17	79440	79444	79444	5	6	0.0175438596491228	57
4h	PC-12	LT934125.1	+	179	79714	79806	79714	93	8	0.000803051596065047	58
6h	C6	LT934125.1	+	236	79734	79825	79734	92	7	0.000603708495040966	58
8h	PC-12	LT934125.1	+	380	79742	79807	79786	66	23	0.000721048341588814	58
8h	C6	LT934125.1	+	311	79753	79825	79781	73	21	0.000677966101694915	58
8h	PC-12	LT934125.1	+	381	79818	79878	79865	61	16	0.000501598846322654	58
4h	PK-15	LT934125.1	+	237	83975	83982	83975	8	14	0.000568320207842819	59
2h	PK-15	LT934125.1	+	98	83976	84011	83978	36	5	0.00181028240405503	59
6h	C6	LT934125.1	+	257	90369	90381	90381	13	6	0.000517464424320828	60
8h	C6	LT934125.1	+	349	91350	91415	91409	66	99	0.00319612590799032	61
8h	PC-12	LT934125.1	+	424	91356	91448	91409	93	68	0.00213179509687128	61
6h	PK-15	LT934125.1	+	467	91358	91452	91409	95	193	0.00155646416503359	61
6h	C6	LT934125.1	+	262	91360	91415	91409	56	27	0.00232858990944373	61
4h	PC-12	LT934125.1	+	196	91360	91412	91409	53	22	0.00220839188917888	61
12h	PK-15	LT934125.1	+	616	91360	91431	91409	72	471	0.00107780320366133	61
4h	PK-15	LT934125.1	+	255	91360	91431	91412	72	59	0.00239506373305188	61
2h	C6	LT934125.1	+	59	91383	91414	91409	32	6	0.00703399765533412	61
8h	PK-15	LT934125.1	+	595	91392	91448	91412	57	268	0.00117544375194628	61
12h	C6	LT934125.1	+	663	91399	91463	91409	65	280	0.00195819258824105	61
12h	PC-12	LT934125.1	+	600	91407	91485	91409	79	203	0.00138559932289925	61
4h	C6	LT934125.1	+	83	91409	91476	91409	68	9	0.0047293746715712	61
2.5h	PC-12	LT934125.1	+	70	91409	91448	91412	40	6	0.00444115470022206	61
6h	PC-12	LT934125.1	+	365	91409	91448	91412	40	62	0.00165236394648473	61
6h	PC-12	LT934125.1	+	366	91509	91550	91548	42	24	0.00063962475347796	62
4h	PC-12	LT934125.1	+	198	91545	91570	91548	26	6	0.000602288697048785	62
12h	PC-12	LT934125.1	+	611	92451	92510	92453	60	96	0.00065525879309521	63
8h	PC-12	LT934125.1	+	432	92451	92487	92453	37	26	0.000815098125274312	63
1h	PK-15	LT934125.1	+	22	104721	104819	104721	99	8	0.0233918128654971	64
1h	PK-15	LT934125.1	+	23	106594	106601	106594	8	5	0.0146198830409357	65
6h	PC-12	LT934125.1	+	404	107368	107448	107422	81	22	0.00058632269068813	66
8h	C6	LT934125.1	+	382	107389	107450	107392	62	23	0.000742534301856336	66
8h	PC-12	LT934125.1	+	478	107389	107432	107422	44	24	0.00075239826948398	66
4h	PK-15	LT934125.1	+	280	107391	107450	107422	60	63	0.00255744093529269	66
2h	PK-15	LT934125.1	+	114	107401	107482	107482	82	8	0.00289645184648805	66
8h	PK-15	LT934125.1	+	679	107412	107462	107422	51	206	0.000903512734704977	66
6h	PK-15	LT934125.1	+	516	107419	107465	107432	47	128	0.00103226638924507	66
4h	PC-12	LT934125.1	+	212	107420	107485	107420	66	10	0.00100381449508131	66
6h	C6	LT934125.1	+	279	107429	107485	107482	57	15	0.00129366106080207	66
8h	PC-12	LT934125.1	+	479	107444	107499	107482	56	59	0.00184964574581478	66
12h	PK-15	LT934125.1	+	696	107448	107494	107482	47	476	0.00108924485125858	66
12h	C6	LT934125.1	+	755	107468	107508	107482	41	118	0.000825238305044444	66
8h	C6	LT934125.1	+	383	107470	107509	107482	40	46	0.00148506860371267	66
8h	PK-15	LT934125.1	+	680	107470	107534	107482	65	632	0.00277194198220168	66
6h	PK-15	LT934125.1	+	517	107472	107524	107482	53	340	0.00274195759643223	66
12h	PC-12	LT934125.1	+	695	107473	107534	107482	62	202	0.00137877371047117	66
6h	PC-12	LT934125.1	+	405	107473	107505	107483	33	33	0.000879484036032194	66
4h	PK-15	LT934125.1	+	281	107476	107537	107482	62	64	0.00259803523585289	66
12h	PK-15	LT934125.1	+	698	107586	107653	107614	68	230	0.000526315789473684	67
4h	PC-12	LT934125.1	+	216	108273	108362	108310	90	9	0.000903433045573178	68
12h	C6	LT934125.1	+	791	114933	115003	114985	71	8781	0.061410318276231	69
8h	PC-12	LT934125.1	+	496	114950	114992	114985	43	1442	0.0452065960248291	69
12h	PK-15	LT934125.1	+	739	114973	115034	114985	62	8787	0.0201075514874142	69
8h	PK-15	LT934125.1	+	717	114973	115062	114985	90	12984	0.0569476181913079	69
6h	PK-15	LT934125.1	+	547	114978	115034	114985	57	10224	0.0824522778409503	69
4h	C6	LT934125.1	+	90	114979	115056	114985	78	222	0.116657908565423	69
6h	C6	LT934125.1	+	289	114979	115075	114985	97	944	0.0814144027598103	69
8h	C6	LT934125.1	+	394	114979	115037	114985	59	1800	0.0581113801452785	69
12h	PC-12	LT934125.1	+	726	114979	115039	114985	61	5972	0.0407625574204646	69
4h	PC-12	LT934125.1	+	222	114979	115023	114985	45	1476	0.148163019474001	69
6h	PC-12	LT934125.1	+	425	114979	115029	114985	51	4550	0.121262192846863	69
4h	PK-15	LT934125.1	+	293	114979	115025	114985	47	1999	0.0811480068198425	69
1h	C6	LT934125.1	+	50	114985	114988	114985	4	58	0.0893682588597843	69
2h	C6	LT934125.1	+	62	114985	115083	114985	99	98	0.114888628370457	69
2h	NRK	LT934125.1	+	40	114985	114988	114985	4	13	0.0420711974110032	69
1.5h	PC-12	LT934125.1	+	35	114985	114988	114985	4	23	0.0508849557522124	69
1h	PC-12	LT934125.1	+	45	114985	115003	114985	19	33	0.0734966592427617	69
2.5h	PC-12	LT934125.1	+	77	114985	115019	114985	35	80	0.0592153960029608	69
2h	PC-12	LT934125.1	+	102	114985	115029	114985	45	141	0.0940627084723149	69
1h	PK-15	LT934125.1	+	25	114985	114988	114985	4	5	0.0146198830409357	69
2h	PK-15	LT934125.1	+	119	114985	115083	114985	99	157	0.056842867487328	69
12h	C6	LT934125.1	+	792	115009	115056	115012	48	130	0.000909160844540489	69
8h	PC-12	LT934125.1	+	497	115012	115059	115012	48	33	0.00103454762054047	69
4h	PC-12	LT934125.1	+	225	115725	115759	115725	35	5	0.000501907247540655	70
6h	C6	LT934125.1	+	292	115731	115829	115815	99	7	0.000603708495040966	70
4h	PK-15	LT934125.1	+	298	115787	115841	115815	55	18	0.000730697410083624	70
8h	PK-15	LT934125.1	+	725	115793	115863	115815	71	115	0.000504388177141128	70
6h	PK-15	LT934125.1	+	555	115814	115894	115815	81	90	0.000725812304937943	70
4h	PC-12	LT934125.1	+	226	115815	115914	115815	100	5	0.000501907247540655	70
8h	PC-12	LT934125.1	+	503	115890	115974	115920	85	17	0.000532948774217819	70
6h	C6	LT934125.1	+	293	115914	115946	115914	33	6	0.000517464424320828	70
6h	PK-15	LT934125.1	+	558	116006	116072	116016	67	69	0.000556456100452423	71
8h	PC-12	LT934125.1	+	505	116072	116154	116144	83	26	0.000815098125274312	71
8h	C6	LT934125.1	+	404	116097	116195	116170	99	33	0.00106537530266344	71
6h	PC-12	LT934125.1	+	434	116106	116203	116137	98	41	0.00109269228719151	71
2h	PK-15	LT934125.1	+	124	116106	116130	116106	25	5	0.00181028240405503	71
4h	PC-12	LT934125.1	+	228	116120	116219	116154	100	15	0.00150572174262196	71
6h	C6	LT934125.1	+	295	116139	116216	116170	78	10	0.00086244070720138	71
8h	C6	LT934125.1	+	405	116245	116321	116283	77	20	0.000645682001614205	72
8h	PC-12	LT934125.1	+	507	116256	116334	116261	79	30	0.000940497836854975	72
4h	PC-12	LT934125.1	+	229	116258	116321	116276	64	8	0.000803051596065047	72
6h	PK-15	LT934125.1	+	562	116258	116334	116283	77	84	0.00067742481794208	72
2.5h	PC-12	LT934125.1	+	81	116340	116403	116340	64	6	0.00444115470022206	73
6h	PK-15	LT934125.1	+	563	116340	116399	116376	60	64	0.000516133194622537	73
4h	PC-12	LT934125.1	+	230	116355	116424	116355	70	7	0.000702670146556916	73
12h	C6	LT934125.1	+	808	116367	116438	116429	72	94	0.000657393226052354	73
2h	PK-15	LT934125.1	+	127	116376	116463	116376	88	8	0.00289645184648805	73
8h	PK-15	LT934125.1	+	733	116376	116475	116429	100	208	0.000912284703003083	73
6h	PK-15	LT934125.1	+	564	116402	116487	116403	86	118	0.000951620577585303	73
8h	C6	LT934125.1	+	407	116420	116475	116453	56	20	0.000645682001614205	73
8h	PC-12	LT934125.1	+	509	116424	116502	116424	79	29	0.000909147908959809	73
4h	PK-15	LT934125.1	+	305	116424	116463	116445	40	18	0.000730697410083624	73
6h	C6	LT934125.1	+	298	116429	116487	116429	59	7	0.000603708495040966	73
4h	PC-12	LT934125.1	+	231	116469	116513	116469	45	5	0.000501907247540655	73
8h	C6	LT934125.1	+	408	116483	116559	116552	77	20	0.000645682001614205	73
6h	PK-15	LT934125.1	+	565	116493	116564	116552	72	73	0.000588714425116332	73
2h	PK-15	LT934125.1	+	128	116518	116616	116518	99	12	0.00434467776973208	73
2.5h	PC-12	LT934125.1	+	82	116526	116600	116526	75	6	0.00444115470022206	73
4h	PC-12	LT934125.1	+	232	116532	116595	116532	64	7	0.000702670146556916	73
6h	PC-12	LT934125.1	+	439	116544	116606	116595	63	20	0.0005330206278983	73
8h	PC-12	LT934125.1	+	511	116577	116636	116606	60	22	0.000689698413693649	73
4h	PK-15	LT934125.1	+	307	116580	116655	116595	76	16	0.000649508808963222	73
6h	PK-15	LT934125.1	+	566	116580	116643	116622	64	62	0.000500004032290583	73
8h	C6	LT934125.1	+	409	116581	116663	116582	83	19	0.000613397901533495	73
6h	C6	LT934125.1	+	300	116607	116649	116622	43	6	0.000517464424320828	73
6h	PC-12	LT934125.1	+	440	116619	116715	116628	97	29	0.000772879910452535	73
8h	PK-15	LT934125.1	+	736	116634	116720	116715	87	178	0.000780705178531485	73
12h	C6	LT934125.1	+	812	116640	116730	116715	91	91	0.000636412591178342	73
8h	PC-12	LT934125.1	+	512	116646	116739	116700	94	25	0.000783748197379146	73
4h	PK-15	LT934125.1	+	308	116670	116737	116687	68	20	0.000811886011204027	73
4h	PC-12	LT934125.1	+	233	116679	116717	116679	39	7	0.000702670146556916	73
8h	C6	LT934125.1	+	410	116682	116742	116682	61	21	0.000677966101694915	73
2h	PK-15	LT934125.1	+	129	116685	116759	116748	75	7	0.00253439536567705	73
6h	C6	LT934125.1	+	301	116696	116768	116696	73	6	0.000517464424320828	73
12h	PC-12	LT934125.1	+	746	116722	116777	116759	56	77	0.000525572156961783	73
8h	PK-15	LT934125.1	+	737	116724	116810	116791	87	240	0.00105263619577279	73
12h	C6	LT934125.1	+	813	116736	116807	116791	72	141	0.000986089839078531	73
8h	PC-12	LT934125.1	+	513	116745	116807	116772	63	29	0.000909147908959809	73
4h	PK-15	LT934125.1	+	309	116748	116832	116791	85	25	0.00101485751400503	73
8h	C6	LT934125.1	+	411	116754	116852	116791	99	25	0.000807102502017756	73
2h	PC-12	LT934125.1	+	109	116754	116792	116754	39	5	0.00333555703802535	73
6h	PK-15	LT934125.1	+	569	116759	116817	116791	59	89	0.000717747723771966	73
12h	C6	LT934125.1	+	819	117516	117613	117607	98	76	0.000531509416808286	74
12h	PK-15	LT934125.1	+	765	117600	117646	117607	47	227	0.000519450800915332	74
4h	PC-12	LT934125.1	+	235	117603	117607	117607	5	7	0.000702670146556916	74
8h	PC-12	LT934125.1	+	516	117603	117607	117607	5	20	0.000626998557903317	74
12h	C6	LT934125.1	+	820	117708	117800	117769	93	74	0.000517522326892278	75
6h	C6	LT934125.1	+	304	117768	117791	117769	24	17	0.00146614920224235	75
8h	PC-12	LT934125.1	+	517	117768	117799	117769	32	43	0.00134804689949213	75
8h	PK-15	LT934125.1	+	744	117768	117845	117769	78	358	0.00157018232536108	75
8h	C6	LT934125.1	+	413	117769	117789	117769	21	20	0.000645682001614205	75
1.5h	PC-12	LT934125.1	+	39	117769	117769	117769	1	5	0.0110619469026549	75
2h	PC-12	LT934125.1	+	111	117769	117769	117769	1	5	0.00333555703802535	75
4h	PC-12	LT934125.1	+	236	117769	117789	117769	21	8	0.000803051596065047	75
6h	PC-12	LT934125.1	+	445	117769	117857	117769	89	26	0.00069292681626779	75
2h	PK-15	LT934125.1	+	131	117769	117802	117769	34	18	0.00651701665459812	75
4h	PK-15	LT934125.1	+	310	117769	117781	117769	13	26	0.00105545181456524	75
6h	PK-15	LT934125.1	+	573	117769	117835	117769	67	102	0.000822587278929669	75
8h	PK-15	LT934125.1	+	754	118786	118883	118864	98	18671	0.0818907100469739	76
4h	C6	LT934125.1	+	97	118791	118868	118864	78	139	0.0730425643720441	76
