chr	pos	strand	C6_dRNA	PC_12_dRNA	PK_15_dRNA
LT934125.1	64132	-	0	92.327578	35.678925
LT934125.1	64133	-	4259.713437	3923.922076	2649.160207
LT934125.1	64134	-	0	46.163789	0
LT934125.1	64135	-	258.164451	230.818946	89.197313
LT934125.1	64136	-	387.246676	923.275782	454.906298
LT934125.1	64137	-	0	138.491367	26.759194
LT934125.1	64138	-	6195.946818	9925.214662	5021.808743
LT934125.1	64139	-	0	46.163789	0
LT934125.1	64140	-	129.082225	0	0
LT934125.1	64144	-	774.493352	1431.077463	838.454746
LT934125.1	64148	-	129.082225	92.327578	80.277582
LT934125.1	64150	-	0	46.163789	0
LT934125.1	64151	-	903.575578	830.948204	214.073552
LT934125.1	64152	-	0	46.163789	0
LT934125.1	64226	-	0	46.163789	0
LT934125.1	64801	-	129.082225	0	0
LT934125.1	71546	-	387.246676	461.637891	214.073552
LT934125.1	71547	-	0	46.163789	0
LT934125.1	71548	-	0	138.491367	17.839463
LT934125.1	71549	-	1936.233381	2123.5343	1471.755671
LT934125.1	71551	-	129.082225	46.163789	80.277582
LT934125.1	71552	-	0	230.818946	142.715701
LT934125.1	71553	-	129.082225	92.327578	98.117045
LT934125.1	71554	-	387.246676	276.982735	142.715701
LT934125.1	71555	-	129.082225	46.163789	35.678925
LT934125.1	72291	-	0	46.163789	0
LT934125.1	75646	-	0	92.327578	0
LT934125.1	75647	-	0	46.163789	0
LT934125.1	75649	-	0	0	17.839463
LT934125.1	75652	-	258.164451	46.163789	0
LT934125.1	77035	-	0	46.163789	0
LT934125.1	78736	-	129.082225	0	0
LT934125.1	80346	-	0	46.163789	0
LT934125.1	80350	-	129.082225	46.163789	89.197313
LT934125.1	80352	-	46727.765587	41778.229157	58308.283754
LT934125.1	80353	-	129.082225	138.491367	187.314358
LT934125.1	80354	-	903.575578	692.456837	1052.528298
LT934125.1	80355	-	3227.055634	2354.353245	3095.146774
LT934125.1	80356	-	1161.740028	830.948204	1382.558357
LT934125.1	80357	-	0	46.163789	35.678925
LT934125.1	80358	-	0	0	17.839463
LT934125.1	80360	-	0	0	53.518388
LT934125.1	80361	-	0	0	35.678925
LT934125.1	80363	-	387.246676	0	44.598657
LT934125.1	80365	-	0	92.327578	0
LT934125.1	80661	-	129.082225	0	0
LT934125.1	86124	-	645.411127	507.80168	419.227373
LT934125.1	86128	-	129.082225	0	0
LT934125.1	86130	-	10197.495805	9648.231927	5360.758534
LT934125.1	86131	-	129.082225	46.163789	26.759194
LT934125.1	86132	-	0	46.163789	17.839463
LT934125.1	86133	-	0	138.491367	35.678925
LT934125.1	86135	-	0	46.163789	0
LT934125.1	86142	-	0	46.163789	0
LT934125.1	86145	-	129.082225	0	0
LT934125.1	88000	-	0	46.163789	0
LT934125.1	88112	-	0	46.163789	0
LT934125.1	90287	-	129.082225	0	0
LT934125.1	90507	-	0	46.163789	0
LT934125.1	92017	-	129.082225	0	0
LT934125.1	92054	-	129.082225	0	0
LT934125.1	92062	-	0	0	17.839463
LT934125.1	92063	-	0	0	53.518388
LT934125.1	92064	-	0	507.80168	374.628716
LT934125.1	92065	-	0	46.163789	0
LT934125.1	92067	-	3356.13786	3462.284184	3237.862476
LT934125.1	92068	-	387.246676	138.491367	35.678925
LT934125.1	92069	-	7099.522396	6832.24079	4834.494385
LT934125.1	92070	-	129.082225	92.327578	44.598657
LT934125.1	92071	-	3227.055634	3462.284184	3175.424356
LT934125.1	92072	-	1678.06893	2308.189456	1462.835939
LT934125.1	92073	-	129.082225	92.327578	62.438119
LT934125.1	92074	-	129.082225	46.163789	17.839463
LT934125.1	92075	-	129.082225	184.655156	124.876239
LT934125.1	92076	-	0	0	44.598657
LT934125.1	92077	-	129.082225	0	62.438119
LT934125.1	92079	-	0	0	35.678925
LT934125.1	92080	-	129.082225	46.163789	98.117045
LT934125.1	92926	-	129.082225	0	0
LT934125.1	93604	-	129.082225	0	0
LT934125.1	93772	-	129.082225	0	0
LT934125.1	95880	-	0	0	17.839463
LT934125.1	95882	-	0	46.163789	53.518388
LT934125.1	95886	-	129.082225	738.620626	561.943074
LT934125.1	95889	-	1290.822254	1292.586095	909.812596
LT934125.1	95891	-	0	46.163789	124.876239
LT934125.1	95892	-	1807.151155	1754.223987	1230.922925
LT934125.1	95893	-	903.575578	1015.603361	606.541731
LT934125.1	95894	-	1678.06893	1431.077463	990.090178
LT934125.1	95895	-	1548.986705	738.620626	936.57179
LT934125.1	95896	-	0	46.163789	35.678925
LT934125.1	95898	-	1807.151155	1384.913674	811.695552
LT934125.1	96807	-	129.082225	0	0
LT934125.1	98783	-	129.082225	0	0
LT934125.1	102356	-	0	0	26.759194
LT934125.1	102357	-	129.082225	92.327578	26.759194
LT934125.1	102358	-	645.411127	923.275782	428.147104
LT934125.1	102360	-	0	46.163789	17.839463
LT934125.1	102361	-	2581.644508	3923.922076	1828.544924
LT934125.1	102362	-	0	92.327578	17.839463
LT934125.1	102363	-	0	0	17.839463
LT934125.1	102364	-	0	92.327578	0
LT934125.1	102365	-	0	46.163789	35.678925
LT934125.1	102366	-	129.082225	0	62.438119
LT934125.1	102367	-	903.575578	600.129259	303.270865
LT934125.1	102368	-	129.082225	0	53.518388
LT934125.1	102369	-	129.082225	92.327578	44.598657
LT934125.1	104626	-	129.082225	0	0
LT934125.1	108294	-	0	46.163789	0
LT934125.1	110202	-	0	46.163789	0
LT934125.1	111353	-	129.082225	0	0
LT934125.1	111606	-	129.082225	0	0
LT934125.1	114054	-	0	46.163789	0
LT934125.1	117248	-	0	46.163789	0
LT934125.1	117251	-	129.082225	0	0
LT934125.1	117253	-	129.082225	138.491367	0
LT934125.1	117258	-	129.082225	0	0
LT934125.1	122916	-	129.082225	46.163789	0
LT934125.1	123708	-	0	46.163789	0
LT934125.1	124844	-	129.082225	0	0
LT934125.1	126753	-	1161.740028	1523.405041	1391.478089
LT934125.1	126755	-	129.082225	230.818946	151.635433
LT934125.1	126756	-	0	46.163789	26.759194
LT934125.1	126757	-	0	92.327578	115.956507
LT934125.1	126758	-	129.082225	46.163789	17.839463
LT934125.1	126760	-	0	0	17.839463
LT934125.1	126801	-	129.082225	0	0
LT934125.1	127345	-	129.082225	0	0
LT934125.1	127496	-	0	46.163789	0
LT934125.1	127526	-	129.082225	0	0
LT934125.1	127553	-	129.082225	0	0
LT934125.1	127569	-	0	46.163789	0
LT934125.1	127728	-	0	46.163789	0
LT934125.1	127782	-	129.082225	0	0
LT934125.1	127830	-	129.082225	0	0
LT934125.1	128036	-	129.082225	0	0
LT934125.1	128053	-	129.082225	0	0
LT934125.1	128341	-	129.082225	0	0
LT934125.1	128350	-	0	46.163789	0
LT934125.1	128407	-	129.082225	0	0
LT934125.1	128504	-	129.082225	0	0
LT934125.1	131752	-	0	46.163789	0
LT934125.1	133730	-	129.082225	0	0
LT934125.1	134887	-	129.082225	138.491367	35.678925
LT934125.1	134888	-	5937.782367	9001.938879	10248.771307
LT934125.1	134889	-	645.411127	923.275782	811.695552
LT934125.1	134890	-	0	230.818946	142.715701
LT934125.1	134891	-	0	0	35.678925
LT934125.1	134892	-	0	46.163789	17.839463
LT934125.1	134893	-	129.082225	230.818946	133.79597
LT934125.1	134894	-	0	0	26.759194
LT934125.1	134895	-	0	230.818946	258.672209
LT934125.1	134896	-	0	46.163789	98.117045
LT934125.1	134900	-	0	0	17.839463
LT934125.1	134901	-	129.082225	92.327578	62.438119
LT934125.1	134970	-	0	46.163789	0
LT934125.1	135103	-	0	92.327578	0
LT934125.1	135464	-	129.082225	0	0
LT934125.1	135470	-	129.082225	0	0
LT934125.1	135484	-	0	46.163789	0
LT934125.1	135486	-	129.082225	46.163789	0
LT934125.1	135488	-	129.082225	0	0
LT934125.1	135597	-	129.082225	46.163789	0
LT934125.1	135616	-	129.082225	0	0
LT934125.1	135630	-	258.164451	0	0
LT934125.1	135646	-	258.164451	0	0
LT934125.1	135649	-	0	92.327578	0
LT934125.1	135686	-	129.082225	0	0
LT934125.1	135728	-	129.082225	0	0
LT934125.1	139138	-	0	46.163789	0
LT934125.1	141110	-	0	46.163789	0
LT934125.1	141130	-	129.082225	0	0
LT934125.1	141324	-	0	46.163789	0
