cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width
364	LT934125.1	95697	95698	-	95698	105.270713	88.5231	95697	95698	2
365	LT934125.1	96183	96183	-	96183	23.925162	23.925162	96183	96183	1
366	LT934125.1	96290	96308	-	96290	43.065292	21.532646	96290	96308	19
367	LT934125.1	96602	96602	-	96602	31.102711	31.102711	96602	96602	1
368	LT934125.1	96964	96983	-	96964	126.803359	74.168002	96964	96983	20
369	LT934125.1	97178	97178	-	97178	28.710195	28.710195	97178	97178	1
370	LT934125.1	97340	97372	-	97343	3526.568891	1330.239012	97341	97365	25
371	LT934125.1	98403	98419	-	98419	81.345551	38.280259	98403	98419	17
372	LT934125.1	98543	98602	-	98600	112.448262	35.887743	98543	98602	60
373	LT934125.1	98930	98930	-	98930	11.962581	11.962581	98930	98930	1
374	LT934125.1	100132	100132	-	100132	16.747613	16.747613	100132	100132	1
375	LT934125.1	101241	101244	-	101244	69.38297	57.420389	101241	101244	4
376	LT934125.1	101783	101786	-	101786	129.195875	83.738067	101783	101786	4
377	LT934125.1	101896	101896	-	101896	14.355097	14.355097	101896	101896	1
378	LT934125.1	102042	102042	-	102042	14.355097	14.355097	102042	102042	1
379	LT934125.1	102174	102174	-	102174	14.355097	14.355097	102174	102174	1
380	LT934125.1	102667	102667	-	102667	16.747613	16.747613	102667	102667	1
381	LT934125.1	103739	103739	-	103739	14.355097	14.355097	103739	103739	1
382	LT934125.1	106534	106534	-	106534	16.747613	16.747613	106534	106534	1
383	LT934125.1	107370	107405	-	107373	964.184032	626.839247	107372	107376	5
384	LT934125.1	107559	107565	-	107563	1358.949206	1157.977845	107559	107563	5
385	LT934125.1	107837	107837	-	107837	16.747613	16.747613	107837	107837	1
386	LT934125.1	108048	108050	-	108048	31.102711	19.14013	108048	108050	3
387	LT934125.1	108408	108482	-	108409	1571.883149	447.400531	108409	108453	45
388	LT934125.1	108718	108718	-	108718	21.532646	21.532646	108718	108718	1
389	LT934125.1	109636	109636	-	109636	11.962581	11.962581	109636	109636	1
390	LT934125.1	109764	109764	-	109764	11.962581	11.962581	109764	109764	1
391	LT934125.1	110754	110756	-	110754	26.317678	14.355097	110754	110756	3
392	LT934125.1	110870	110870	-	110870	14.355097	14.355097	110870	110870	1
393	LT934125.1	111107	111107	-	111107	43.065292	43.065292	111107	111107	1
394	LT934125.1	111976	111976	-	111976	26.317678	26.317678	111976	111976	1
395	LT934125.1	113089	113107	-	113107	50.24284	33.495227	113089	113107	19
396	LT934125.1	113520	113520	-	113520	14.355097	14.355097	113520	113520	1
397	LT934125.1	113778	113778	-	113778	14.355097	14.355097	113778	113778	1
398	LT934125.1	114135	114148	-	114135	31.10271	16.747613	114135	114148	14
399	LT934125.1	114430	114430	-	114430	14.355097	14.355097	114430	114430	1
400	LT934125.1	114785	114785	-	114785	14.355097	14.355097	114785	114785	1
401	LT934125.1	114994	114994	-	114994	14.355097	14.355097	114994	114994	1
402	LT934125.1	115587	115587	-	115587	14.355097	14.355097	115587	115587	1
403	LT934125.1	116449	116489	-	116451	519.176016	119.62581	116450	116485	36
404	LT934125.1	116717	116814	-	116729	162.691101	59.812905	116729	116802	74
405	LT934125.1	116867	116867	-	116867	35.887743	35.887743	116867	116867	1
406	LT934125.1	118404	118404	-	118404	35.887743	35.887743	118404	118404	1
407	LT934125.1	118738	118738	-	118738	14.355097	14.355097	118738	118738	1
408	LT934125.1	120883	120883	-	120883	14.355097	14.355097	120883	120883	1
409	LT934125.1	124704	124708	-	124708	514.390985	267.961815	124707	124708	2
410	LT934125.1	126999	127023	-	127001	521.568533	370.840012	127000	127002	3
411	LT934125.1	127056	127493	-	127289	17118.453471	1827.882384	127119	127411	293
412	LT934125.1	127536	127709	-	127644	961.791515	157.90607	127584	127698	115
413	LT934125.1	127874	127877	-	127876	440.222983	351.699883	127874	127876	3
414	LT934125.1	128732	128739	-	128736	19089.886834	12921.980046	128733	128736	4
415	LT934125.1	128886	128887	-	128886	102.878197	62.205421	128886	128887	2
416	LT934125.1	129720	129720	-	129720	23.925162	23.925162	129720	129720	1
417	LT934125.1	130833	130837	-	130837	157.906069	117.233294	130833	130837	5
418	LT934125.1	133025	133029	-	133029	509.605953	265.569299	133026	133029	4
419	LT934125.1	133280	133280	-	133280	11.962581	11.962581	133280	133280	1
420	LT934125.1	134414	134414	-	134414	19.14013	19.14013	134414	134414	1
421	LT934125.1	135313	135313	-	135313	11.962581	11.962581	135313	135313	1
422	LT934125.1	135490	135490	-	135490	14.355097	14.355097	135490	135490	1
423	LT934125.1	135717	135717	-	135717	11.962581	11.962581	135717	135717	1
424	LT934125.1	136048	136048	-	136048	21.532646	21.532646	136048	136048	1
425	LT934125.1	136238	136248	-	136239	9373.878508	8247.003373	136238	136239	2
426	LT934125.1	136410	136410	-	136410	21.532646	21.532646	136410	136410	1
427	LT934125.1	137620	137620	-	137620	11.962581	11.962581	137620	137620	1
428	LT934125.1	139916	139916	-	139916	11.962581	11.962581	139916	139916	1
429	LT934125.1	141728	141776	-	141728	90.915616	43.065292	141728	141776	49
430	LT934125.1	141887	141917	-	141892	220.111492	167.476135	141892	141893	2
431	LT934125.1	142425	142430	-	142428	509.605952	220.111491	142427	142430	4
